2016
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",537900,0.767,0.5,0.551,0.5,0.0633333333333333,0.0103333333333333,0.0666666666666667
"2",167835.276107159,0.385,1,0.551,0.5,0.0996666666666667,0.118,0.101
"3",146069.97509029,0.356,1,0.551,0.5,0.124333333333333,0.166333333333333,0.123666666666667
"4",93595.4611569476,0.339,1,0.551,0.5,0.139666666666667,0.166333333333333,0.139666666666667
"5",108563.826938653,0.319,1,0.551,0.5,0.148666666666667,0.166333333333333,0.149666666666667
"6",94544.9393080633,0.314,1,0.551,0.5,0.154333333333333,0.166333333333333,0.158666666666667
"7",46642.9625663374,0.307,1,0.551,0.5,0.161333333333333,0.166333333333333,0.163666666666667
"8",39566.6999062895,0.307,1,0.551,0.5,0.169,0.166333333333333,0.170666666666667
"9",35977.9490091234,0.307,1,0.551,0.5,0.172333333333333,0.0693333333333333,0.179333333333333
""
2017
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",537900,0.767,0.5,0.551,0.5,0.0633333333333333,0.0103333333333333,0.0666666666666667
"2",-,0.385,1,0.551,0.5,0.0996666666666667,0.118,0.101
"3",-,0.356,1,0.551,0.5,0.124333333333333,0.166333333333333,0.123666666666667
"4",-,0.339,1,0.551,0.5,0.139666666666667,0.166333333333333,0.139666666666667
"5",-,0.319,1,0.551,0.5,0.148666666666667,0.166333333333333,0.149666666666667
"6",-,0.314,1,0.551,0.5,0.154333333333333,0.166333333333333,0.158666666666667
"7",-,0.307,1,0.551,0.5,0.161333333333333,0.166333333333333,0.163666666666667
"8",-,0.307,1,0.551,0.5,0.169,0.166333333333333,0.170666666666667
"9",-,0.307,1,0.551,0.5,0.172333333333333,0.0693333333333333,0.179333333333333
""
2018
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",537900,0.767,0.5,0.551,0.5,0.0633333333333333,0.0103333333333333,0.0666666666666667
"2",-,0.385,1,0.551,0.5,0.0996666666666667,0.118,0.101
"3",-,0.356,1,0.551,0.5,0.124333333333333,0.166333333333333,0.123666666666667
"4",-,0.339,1,0.551,0.5,0.139666666666667,0.166333333333333,0.139666666666667
"5",-,0.319,1,0.551,0.5,0.148666666666667,0.166333333333333,0.149666666666667
"6",-,0.314,1,0.551,0.5,0.154333333333333,0.166333333333333,0.158666666666667
"7",-,0.307,1,0.551,0.5,0.161333333333333,0.166333333333333,0.163666666666667
"8",-,0.307,1,0.551,0.5,0.169,0.166333333333333,0.170666666666667
"9",-,0.307,1,0.551,0.5,0.172333333333333,0.0693333333333333,0.179333333333333
""
