"Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9"
0.010488,0.121685,0.171861,0.171861,0.171861,0.171861,0.171861,0.171861,0.0787684
0.00865418,0.100408,0.141811,0.141811,0.141811,0.141811,0.141811,0.141811,0.0649958
0.00912687,0.105892,0.149557,0.149557,0.149557,0.149557,0.149557,0.149557,0.0685458
0.0082998,0.0962964,0.136004,0.136004,0.136004,0.136004,0.136004,0.136004,0.0623342
0.0132806,0.154085,0.217622,0.217622,0.217622,0.217622,0.217622,0.217622,0.0997417
0.0104922,0.121734,0.171931,0.171931,0.171931,0.171931,0.171931,0.171931,0.0788002
0.00649465,0.0753526,0.106424,0.106424,0.106424,0.106424,0.106424,0.106424,0.0487769
0.00934316,0.108402,0.153101,0.153101,0.153101,0.153101,0.153101,0.153101,0.0701702
0.013263,0.153881,0.217334,0.217334,0.217334,0.217334,0.217334,0.217334,0.0996096
0.0149823,0.173828,0.245507,0.245507,0.245507,0.245507,0.245507,0.245507,0.112522
0.0161347,0.187199,0.264391,0.264391,0.264391,0.264391,0.264391,0.264391,0.121177
0.0242414,0.281255,0.39723,0.39723,0.39723,0.39723,0.39723,0.39723,0.182061
0.021883,0.253892,0.358585,0.358585,0.358585,0.358585,0.358585,0.358585,0.164349
0.0301563,0.349881,0.494155,0.494155,0.494155,0.494155,0.494154,0.494155,0.226484
0.0374565,0.43458,0.613779,0.613779,0.613779,0.613779,0.613779,0.613779,0.281311
0.0345167,0.400471,0.565606,0.565606,0.565606,0.565606,0.565606,0.565606,0.259232
0.0329998,0.382872,0.54075,0.54075,0.54075,0.54075,0.540749,0.54075,0.247839
0.0343827,0.398917,0.563411,0.563411,0.563411,0.563411,0.563411,0.563411,0.258226
0.0257806,0.299113,0.422453,0.422453,0.422453,0.422453,0.422453,0.422453,0.193621
0.0192642,0.223508,0.315673,0.315673,0.315673,0.315673,0.315672,0.315672,0.144681
0.0177133,0.205514,0.290258,0.290258,0.290258,0.290258,0.290257,0.290258,0.133032
0.0280852,0.325852,0.460218,0.460218,0.460218,0.460218,0.460217,0.460217,0.210929
0.0361414,0.419322,0.59223,0.59223,0.59223,0.59223,0.59223,0.59223,0.271434
0.0561576,0.651555,0.920225,0.920225,0.920224,0.920224,0.920224,0.920224,0.421762
0.0309647,0.359261,0.507403,0.507402,0.507402,0.507402,0.507402,0.507402,0.232555
0.0378356,0.438978,0.619992,0.619992,0.619992,0.619992,0.619991,0.619992,0.284158
0.0321253,0.372726,0.52642,0.52642,0.52642,0.52642,0.526419,0.52642,0.241271
0.0216467,0.251151,0.354713,0.354713,0.354713,0.354713,0.354712,0.354713,0.162574
0.0249231,0.289164,0.408402,0.408402,0.408402,0.408402,0.408401,0.408402,0.187181
0.0266892,0.309654,0.437341,0.437341,0.437341,0.437341,0.43734,0.437341,0.200444
0.0158028,0.183349,0.258953,0.258953,0.258953,0.258953,0.258952,0.258952,0.118684
0.0193324,0.2243,0.31679,0.31679,0.31679,0.31679,0.316789,0.31679,0.145193
0.0168159,0.195103,0.275553,0.275553,0.275553,0.275553,0.275553,0.275553,0.126293
0.0258335,0.299727,0.42332,0.42332,0.42332,0.42332,0.42332,0.42332,0.194018
0.0332926,0.386269,0.545548,0.545548,0.545548,0.545548,0.545548,0.545548,0.250038
0.0222852,0.258558,0.365175,0.365175,0.365175,0.365175,0.365175,0.365175,0.167369
0.0218098,0.253043,0.357385,0.357385,0.357385,0.357385,0.357385,0.357385,0.163799
0.0263443,0.305653,0.43169,0.43169,0.43169,0.43169,0.43169,0.43169,0.197854
0.0209323,0.242862,0.343007,0.343007,0.343007,0.343007,0.343006,0.343007,0.157209
0.0278136,0.3227,0.455766,0.455766,0.455766,0.455766,0.455766,0.455766,0.208889
0.0306118,0.355166,0.50162,0.50162,0.50162,0.50162,0.501619,0.50162,0.229905
0.0437392,0.507473,0.71673,0.71673,0.71673,0.71673,0.71673,0.71673,0.328496
0.045466,0.527509,0.745027,0.745027,0.745027,0.745027,0.745027,0.745027,0.341465
0.0391236,0.453922,0.641097,0.641097,0.641097,0.641097,0.641096,0.641097,0.293831
0.015315,0.177688,0.250959,0.250959,0.250959,0.250959,0.250958,0.250959,0.115021
0.0223747,0.259597,0.366643,0.366643,0.366643,0.366643,0.366642,0.366642,0.168042
0.0263181,0.305349,0.43126,0.43126,0.43126,0.43126,0.43126,0.43126,0.197657
0.0195253,0.226538,0.319951,0.319951,0.319951,0.319951,0.31995,0.319951,0.146641
0.00774929,0.0899093,0.126984,0.126984,0.126984,0.126984,0.126983,0.126983,0.0581997
0.00717362,0.0832302,0.11755,0.11755,0.11755,0.11755,0.11755,0.11755,0.0538763
0.00402856,0.0467404,0.0660139,0.0660139,0.0660139,0.0660139,0.0660138,0.0660138,0.0302558
0.00363492,0.0421733,0.0595635,0.0595635,0.0595635,0.0595635,0.0595635,0.0595635,0.0272995
0.00428974,0.0497706,0.0702936,0.0702936,0.0702936,0.0702936,0.0702936,0.0702936,0.0322173
0.00499781,0.0579859,0.0818965,0.0818965,0.0818965,0.0818965,0.0818964,0.0818965,0.0375352
0.00841878,0.0976769,0.137954,0.137954,0.137954,0.137954,0.137954,0.137954,0.0632278
