"Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9"
423777,123594,281867,150538,88546.9,157791,76790.4,62420.1,77641.9
1567910,194807,74865.9,167625,91059.4,54643.3,97862.7,47960.3,92395.2
365448,721991,120325,45760.9,104216,57756.9,34832.8,62821.5,95065.1
392851,168180,442897,72840.2,28176.8,65466.1,36463.5,22145.4,105813
838866,180926,104053,271354,45393,17914.1,41830.4,23462.5,87933
406085,384404,105711,58816.1,156014,26625.7,10560.4,24832.2,73171.3
1381480,186603,231841,62483.3,35360.8,95691.9,16412.9,6555.45,65623.7
421798,637371,117818,146160,40066.8,23132.8,62914.8,10866.8,50575.8
741782,194041,389344,70900.7,89464.5,25020.4,14518.1,39762.5,41828.4
775445,339887,113267,219788,40710.3,52407.1,14730.1,8607.18,51739.4
907672,354682,194429,62145.1,122656,23178,29987,8487.64,39394.7
469390,414677,200204,104691,34036.2,68534.5,13015.7,16957.6,30818
254963,212688,213107,94465.2,50245,16665.1,33724.7,6449.79,27684.3
824319,115801,112294,104448,47093,25554.2,8518.25,17359.2,20912.4
282609,371278,55575.1,48119.4,45524.6,20940.6,11420,3833.5,20389.4
327206,126345,163677,21131.8,18610.6,17962.7,8303.99,4560.42,13207.1
163088,146718,57620.6,65280.2,8572.63,7702.34,7471.49,3478.26,9622.91
204253,73241.7,68106.2,23560.5,27150,3637.39,3284.5,3208.44,7170.91
227615,91599.8,33459.1,27228,9580.68,11263.4,1516.56,1379.05,5538.9
186705,102974,46236.7,15393.6,12741.6,4573.95,5404.25,732.767,4096
148146,85026.8,56053,23656.7,8011.09,6764.89,2440.61,2903.91,3042.89
282256,67573,47121.3,29412.3,12626,4362.04,3701.95,1344.96,3588.77
168642,127394,33207.7,20877.5,13254.8,5804.93,2015.54,1722.55,2813.92
465986,75495,57027.5,12901.8,8250.37,5343.84,2352.06,822.402,2328.57
724584,204436,26843.2,16022,3686.94,2405.33,1565.77,694.005,1420.57
783828,326125,97322.7,11372.6,6904.36,1620.91,1062.77,696.676,1159.18
665330,350339,143383,36865.2,4381.71,2713.91,640.327,422.787,939.931
640635,299091,164476,59568.6,15578.3,1889.01,1175.86,279.385,742.635
651275,291058,158459,81006.3,29841.2,7961.68,970.263,608.208,617.373
1194160,294916,148501,74011.7,38484.4,14463.3,3878.18,475.941,682.993
475325,539799,147484,67431.5,34183.5,18133.7,6849.23,1849.45,647.611
575037,217238,306008,79896.1,37155.7,19216.1,10244.9,3896.74,1480.98
503613,261866,118202,156474,41554.4,19715.3,10247.4,5501.68,3050.23
208692,229926,146694,62969.5,84787.3,22971.6,10953.4,5733.24,5083.8
958495,94411.5,116042,67475.4,29460.9,40469.9,11019.6,5291.3,5917.19
359765,430382,43743.9,47323.9,27989.5,12467.6,17212.3,4719.67,5753.48
766054,163343,226307,21317.1,23457.1,14153.8,6336.26,8809.08,6063.04
717732,347962,86320.7,111062,10640.9,11945.7,7244.09,3265.74,8395.18
351403,324504,174410,39322.8,51461,5030.12,5675.2,3465.72,6739.64
369924,159750,173132,86750.1,19894.2,26561.1,2609.26,2964.56,6119.15
245937,166991,78658.5,76916.8,39200.9,9171.46,12306.4,1217.42,5118.25
469205,110701,79561,33363,33183.5,17253.8,4056.93,5481.87,3607.63
450668,208370,45224.8,27178.2,11592.3,11762.9,6146.74,1455.46,3943.84
454011,199742,83223.4,14965.1,9147.63,3980.54,4059.36,2136.14,2639.23
493880,202460,85552,30385.8,5557.62,3465.79,1515.68,1556.55,2305.54
145266,225687,114595,46244.7,16706.5,3117.38,1953.78,860.438,2408.75
365375,65874,117032,54760.6,22477.4,8284.3,1553.57,980.521,1946.69
1106580,164959,32484.2,52103.3,24797.8,10384.3,3846.43,726.396,1647.72
379009,502820,87534.1,16034.5,26159.6,12701.8,5345.65,1993.98,1426.69
847109,174445,308947,53110.4,9895.56,16470.3,8037.24,3406.3,2260.1
357534,390102,107830,189042,33054.9,6283.21,10510.3,5164.88,3761.95
1342850,165239,251200,69889.6,124627,22231.9,4247.13,7154.34,6196.5
1031130,620862,106882,163847,46367.6,84353.1,15123,2909.34,9327.94
1378580,476262,397049,68606.8,106975,30884.8,56468.1,10194.8,8582.03
940559,636002,300542,250124,43960.4,69929.9,20290.7,37359,12789.5
535688,431589,377399,173624,146975,26353.4,42131.7,12310.7,31360.3
1165590,246467,264038,227596,106502,91976.4,16574.5,26684.1,29493.7
