"","Z.obs","low.80%","high.80%"
"1948",NA,NA,NA
"1949",NA,NA,NA
"1950",NA,NA,NA
"1951",NA,NA,NA
"1952",NA,NA,NA
"1953",NA,NA,NA
"1954",NA,NA,NA
"1955",NA,NA,NA
"1956",NA,NA,NA
"1957",NA,NA,NA
"1958",NA,NA,NA
"1959",NA,NA,NA
"1960",NA,NA,NA
"1961",NA,NA,NA
"1962",NA,NA,NA
"1963",NA,NA,NA
"1964",NA,NA,NA
"1965",NA,NA,NA
"1966",NA,NA,NA
"1967",NA,NA,NA
"1968",NA,NA,NA
"1969",NA,NA,NA
"1970",NA,NA,NA
"1971",NA,NA,NA
"1972",NA,NA,NA
"1973",NA,NA,NA
"1974",NA,NA,NA
"1975",NA,NA,NA
"1976",NA,NA,NA
"1977",NA,NA,NA
"1978",NA,NA,NA
"1979",NA,NA,NA
"1980",NA,NA,NA
"1981",NA,NA,NA
"1982",NA,NA,NA
"1983",NA,NA,NA
"1984",NA,NA,NA
"1985",NA,NA,NA
"1986",NA,NA,NA
"1987",NA,NA,NA
"1988",NA,NA,NA
"1989",NA,NA,NA
"1990",NA,NA,NA
"1991",NA,NA,NA
"1992",NA,NA,NA
"1993",NA,NA,NA
"1994",NA,NA,NA
"1995",2.70827739600695,NA,NA
"1996",3.67512012017067,NA,NA
"1997",2.06165018521177,NA,NA
"1998",1.18023641596565,0.0761788586891066,2.28429397324218
"1999",0.878227029730292,0.427745393346747,1.32870866611384
"2000",0.871116853359208,0.445767544518081,1.29646616220033
"2001",0.507690901643539,0.226771304367451,0.788610498919627
"2002",0.441674712844698,0.386762420518798,0.496587005170598
"2003",0.554177626418972,0.495429632006147,0.612925620831796
"2004",0.4698179817114,0.380218155276925,0.559417808145875
"2005",0.387093034443649,0.238345622580911,0.535840446306387
"2006",0.667115355007239,0.310920829475182,1.0233098805393
"2007",0.826831192198493,0.427146910966344,1.22651547343064
"2008",0.788201894586088,0.578111859189647,0.998291929982529
"2009",1.06838861243391,-0.131694302224808,2.26847152709262
"2010",0.842901366697394,0.367602941591024,1.31819979180377
"2011",0.695913127626204,NA,NA
"2012",NA,NA,NA
"2013",NA,NA,NA
"2014",NA,NA,NA
"2015",NA,NA,NA
"2016",NA,NA,NA
"2017",NA,NA,NA
"2018",NA,NA,NA
"2019",NA,NA,NA
"2020",NA,NA,NA
"2021",NA,NA,NA
"2022",NA,NA,NA
