"Rationale","Fbar (2017)","Catch (2017)","SSB (2017)","Fbar (2018)","Catch (2018)","SSB (2018)","SSB (2019)"
Fmult(2018) = 0.000,0.601765780144016,15817,36168.8558161847,0,0,45532.2740121503,39789.0150712547
Fmult(2018) = 0.025,0.601765780144016,15817,36168.8558161847,0.025,777.372770801303,45121.2676287515,39431.2832189358
Fmult(2018) = 0.050,0.601765780144016,15817,36168.8558161847,0.05,1539.3429319862,44715.1841110812,39080.9542394953
Fmult(2018) = 0.075,0.601765780144016,15817,36168.8558161847,0.075,2286.2537349394,44313.9606960706,38737.8595390203
Fmult(2018) = 0.100,0.601765780144016,15817,36168.8558161847,0.1,3018.44039750734,43917.5354491639,38401.8345157376
Fmult(2018) = 0.125,0.601765780144016,15817,36168.8558161847,0.125,3736.23029834358,43525.8472530834,38072.7184627787
Fmult(2018) = 0.150,0.601765780144016,15817,36168.8558161847,0.15,4439.94316643551,43138.8357967506,37750.3544733657
Fmult(2018) = 0.175,0.601765780144016,15817,36168.8558161847,0.175,5129.89126593409,42756.4415643609,37434.5893483574
Fmult(2018) = 0.200,0.601765780144016,15817,36168.8558161847,0.2,5806.37957640526,42378.6058246094,37125.2735060959
Fmult(2018) = 0.225,0.601765780144016,15817,36168.8558161847,0.225,6469.70596861857,42005.2706200659,36822.2608944946
Fmult(2018) = 0.250,0.601765780144016,15817,36168.8558161847,0.25,7120.1613759855,41636.3787566967,36525.4089053125
Fmult(2018) = 0.275,0.601765780144016,15817,36168.8558161847,0.275,7758.0299617574,41271.8737935316,36234.5782905576
Fmult(2018) = 0.300,0.601765780144016,15817,36168.8558161847,0.3,8383.58928208984,40911.7000324738,35949.6330809668
Fmult(2018) = 0.325,0.601765780144016,15817,36168.8558161847,0.325,8997.11044507745,40555.8025082506,35670.4405065095
Fmult(2018) = 0.350,0.601765780144016,15817,36168.8558161847,0.35,9598.85826586106,40204.1269785031,35396.8709188633
Fmult(2018) = 0.375,0.601765780144016,15817,36168.8558161847,0.375,10189.0914179057,39856.6199140129,35128.7977158131
Fmult(2018) = 0.400,0.601765780144016,15817,36168.8558161847,0.4,10768.0625805459,39513.2284890636,34866.0972675234
Fmult(2018) = 0.425,0.601765780144016,15817,36168.8558161847,0.425,11336.0185828931,39173.9005719361,34608.6488446381
Fmult(2018) = 0.450,0.601765780144016,15817,36168.8558161847,0.45,11893.2005441945,38838.5847155341,34356.3345481608
Fmult(2018) = 0.475,0.601765780144016,15817,36168.8558161847,0.475,12439.8440107356,38507.2301481403,34109.0392410704
Fmult(2018) = 0.500,0.601765780144016,15817,36168.8558161847,0.5,12976.1790893704,38179.7867642991,33866.6504816295
Fmult(2018) = 0.525,0.601765780144016,15817,36168.8558161847,0.525,13502.430577766,37856.2051158259,33629.0584583415
Fmult(2018) = 0.550,0.601765780144016,15817,36168.8558161847,0.55,14018.8180914434,37536.43640294,33396.1559265156
Fmult(2018) = 0.575,0.601765780144016,15817,36168.8558161847,0.575,14525.5561876945,37220.4324655199,33167.8381463992
Fmult(2018) = 0.600,0.601765780144016,15817,36168.8558161847,0.6,15022.8544864546,36908.1457744798,32944.0028228384
