"a). Catch(2018) = Zero"
"Age","N(2017)","N(2018)","N(2019)","F(2017)","F(2018)","F(2019)","","Year","SSB","F.bar","Yield"
"1","519756","519756","519756","0.0402801385899368","1.99012760920014e-36","0"," ","2017","36168.8558161847","0.601765780144016","15817"
"2","115418.746900694","231846.225803837","241375.658938805","0.458024156546862","2.262967684655e-35","0"," ","2018","45532.2740121503","2.9731543516478e-35","9.33797069315485e-31"
"3","29070.3005537172","49690.5431245191","157802.82838226","0.649679654676401","3.20988324064539e-35","0"," ","2019","58654.3945346221","0","0"
"4","38126.7431701077","10637.7011028449","34819.6414071166","0.649679654676401","3.20988324064539e-35","0"," ","","","",""
"5","29560.511791665","14188.6918916988","7580.75954762316","0.649679654676401","3.20988324064539e-35","0"," ","","","",""
"6","33119.3863019621","11216.3748967727","10309.4433128848","0.649679654676401","3.20988324064539e-35","0"," ","","","",""
"7","28849.5503829368","12639.9842811604","8197.26658092765","0.649679654676401","3.20988324064539e-35","0"," ","","","",""
"8","14074.9117116333","11085.1874538244","9300.42543804145","0.649679654676401","3.20988324064539e-35","0"," ","","","",""
"9","27155.8402736939","20716.8186037305","23399.7273682748","0.266368658417324","1.31605212866461e-35","0"," ","","","",""
""
"b). Catch(2018) = 2017 TAC -15%"
"Age","N(2017)","N(2018)","N(2019)","F(2017)","F(2018)","F(2019)","","Year","SSB","F.bar","Yield"
"1","519756","519756","519756","0.0402801385899368","0.0313543483318813","0.0206666666666667"," ","2017","36168.8558161847","0.601765780144016","15817"
"2","115418.746900694","231846.225803837","233924.89969045","0.458024156546862","0.356529283451231","0.235"," ","2018","38594.0773544826","0.468418792619436","12296.95"
"3","29070.3005537172","49690.5431245191","110478.070985312","0.649679654676401","0.505715295675505","0.333333333333333"," ","2019","43595.7408555976","0.30875","9655.93042608923"
"4","38126.7431701077","10637.7011028449","20998.8219837268","0.649679654676401","0.505715295675505","0.333333333333333"," ","","","",""
"5","29560.511791665","14188.6918916988","4571.75932344439","0.649679654676401","0.505715295675505","0.333333333333333"," ","","","",""
"6","33119.3863019621","11216.3748967727","6217.35767888592","0.649679654676401","0.505715295675505","0.333333333333333"," ","","","",""
