"Rationale","Fbar (2017)","Catch (2017)","SSB (2017)","Fbar (2018)","Catch (2018)","SSB (2018)","SSB (2019)"
Catch(2018) = Zero,0.601765780144016,15817,36168.8558161847,2.9731543516478e-35,9.33797069315485e-31,45532.2740121503,58654.3945346221
Catch(2018) = 2017 TAC -15%,0.601765780144016,15817,36168.8558161847,0.468418792619436,12296.95,38594.0773544826,43595.7408555976
Catch(2018) = 2017 TAC,0.601765780144016,15817,36168.8558161847,0.572086954415662,14467,37257.0615806392,42171.8065345333
Catch(2018) = 2017 TAC +15%,0.601765780144016,15817,36168.8558161847,0.684528147905285,16637.05,35879.1788672295,40755.5537328562
Catch(2018) = 2017 TAC +30%,0.601765780144016,15817,36168.8558161847,0.807202125271707,18807.1,34456.9184698013,39347.856826503
Catch(2018) = 2017 TAC -30%,0.601765780144016,15817,36168.8558161847,0.372342971306271,10126.9,39893.3569813365,45026.6105068294
Fbar(2018) = Fmsy,0.601765780144016,15817,36168.8558161847,0.26,7376.80353947049,41490.0534790312,46848.9161831353
Fbar(2018) = Fmgt,0.601765780144016,15817,36168.8558161847,0.23,6600.81753921057,41931.1385969883,47364.7827819677
Fbar(2018) = Fpa,0.601765780144016,15817,36168.8558161847,0.37,10071.9537472434,39925.7903953781,45062.9247209397
Fbar(2018) = Flim,0.601765780144016,15817,36168.8558161847,0.61,15219.1766972578,36784.2613992569,41679.9976040355
Fbar(2018) = 0.18,0.601765780144016,15817,36168.8558161847,0.18,5266.25607801817,42680.5116027143,48253.5946287086
Fbar(2018) = 0.17,0.601765780144016,15817,36168.8558161847,0.17,4992.98808503522,42832.5538632367,48435.8332934389
Fbar(2018) = 0.14,0.601765780144016,15817,36168.8558161847,0.14,4160.12711313068,43293.0829972134,48991.7512400727
Fbar(2018) = 0.54,0.601765780144016,15817,36168.8558161847,0.54,13813.4329193895,37663.889432299,42599.8893977584
Fbar(2018) = 0.60,0.601765780144016,15817,36168.8558161847,0.6,15022.8544864546,36908.1457744798,41808.2716246817
Fbar(2018) = 0.10,0.601765780144016,15817,36168.8558161847,0.1,3018.44039750734,43917.5354491639,49754.9798755961
Fbar(2018) = 0.15,0.601765780144016,15817,36168.8558161847,0.15,4439.94316643551,43138.8357967506,48804.8974798266
Fbar(2018) = 0.20,0.601765780144016,15817,36168.8558161847,0.2,5806.37957640526,42378.6058246094,47893.6345625577
Fbar(2018) = 0.01,0.601765780144016,15817,36168.8558161847,0.01,312.819729692271,45367.2766632607,51568.8368705
Fbar(2018) = 0.02,0.601765780144016,15817,36168.8558161847,0.02,623.141553072766,45203.0730530452,51360.4457320059
Fbar(2018) = 0.03,0.601765780144016,15817,36168.8558161847,0.03,930.987910488088,45039.6591163994,51153.8044152675
Fbar(2018) = 0.04,0.601765780144016,15817,36168.8558161847,0.04,1236.3810305069,44877.0308097787,50948.8968555058
Fbar(2018) = 0.05,0.601765780144016,15817,36168.8558161847,0.05,1539.3429319862,44715.1841110812,50745.7071410984
Fbar(2018) = 0.06,0.601765780144016,15817,36168.8558161847,0.06,1839.89542611697,44554.11501953,50544.2195120777
Fbar(2018) = 0.9,0.601765780144016,15817,36168.8558161847,0.9,20324.1846654797,33434.175245444,38369.3597015347
Fbar(2018) = 1.0,0.601765780144016,15817,36168.8558161847,1,21849.4486806397,32380.6389402267,37390.7180906366
Fbar(2018) = 1.1,0.601765780144016,15817,36168.8558161847,1.1,23270.203041127,31375.0804440478,36484.1704340759
Fbar(2018) = 1.2,0.601765780144016,15817,36168.8558161847,1.2,24595.0133275574,30415.1445569191,35643.6055924218
Fbar(2018) = 1.3,0.601765780144016,15817,36168.8558161847,1.3,25831.6983902422,29498.5961049868,34863.4540326706
Fbar(2018) = 1.4,0.601765780144016,15817,36168.8558161847,1.4,26987.3980514457,28623.3136456147,34138.638318514
Fbar(2018) = 1.5,0.601765780144016,15817,36168.8558161847,1.5,28068.6344871621,27787.2835103145,33464.5282422572
Fbar(2018) = 1.6,0.601765780144016,15817,36168.8558161847,1.6,29081.3678919006,26988.5941670568,32836.9001541578
Fbar(2018) = 1.7,0.601765780144016,15817,36168.8558161847,1.7,30031.0469713328,26225.4308845195,32251.9000881783
Fbar(2018) = 0.001,0.601765780144016,15817,36168.8558161847,0.001,31.3950227125732,45515.7384427181,51757.8983949029
Fbar(2018) = 0.002,0.601765780144016,15817,36168.8558161847,0.002,62.7648627489627,45499.210847426,51736.8205471955
Fbar(2018) = 0.003,0.601765780144016,15817,36168.8558161847,0.003,94.1095428384681,45482.6912221795,51715.7604906499
Fbar(2018) = 0.00001,0.601765780144016,15817,36168.8558161847,1e-05,0.314074956057442,45532.1086169705,51778.7830054479
Fbar(2018) = 0.0001,0.601765780144016,15817,36168.8558161847,1e-04,3.14063613991634,45530.620096254,51776.8836828623
