2023
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",310022.452110009,0.787,0.09,0.9,0.75,0.059,0.0268362973251558,0.059
"2",137389.758664929,0.38,0.866666666666667,0.9,0.75,0.094,0.184153017976735,0.094
"3",84088.8898642904,0.353,0.963333333333333,0.9,0.75,0.115333333333333,0.202382368564895,0.115333333333333
"4",81761.1625858906,0.335,1,0.9,0.75,0.131333333333333,0.219167681890593,0.131333333333333
"5",37915.06760843,0.315,1,0.9,0.75,0.142666666666667,0.245216124616698,0.142666666666667
"6",11072.2904154504,0.311,1,0.9,0.75,0.152,0.244713767091149,0.152
"7",1421.34846620176,0.304,1,0.9,0.75,0.161666666666667,0.0915786797676984,0.161666666666667
"8",3146.05197038992,0.304,1,0.9,0.75,0.169666666666667,0.0915786797676984,0.169666666666667
""
2024
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",310022.452110009,0.787,0.09,0.9,0.75,0.059,0.0268362973251558,0.059
"2",-,0.38,0.866666666666667,0.9,0.75,0.094,0.184153017976735,0.094
"3",-,0.353,0.963333333333333,0.9,0.75,0.115333333333333,0.202382368564895,0.115333333333333
"4",-,0.335,1,0.9,0.75,0.131333333333333,0.219167681890593,0.131333333333333
"5",-,0.315,1,0.9,0.75,0.142666666666667,0.245216124616698,0.142666666666667
"6",-,0.311,1,0.9,0.75,0.152,0.244713767091149,0.152
"7",-,0.304,1,0.9,0.75,0.161666666666667,0.0915786797676984,0.161666666666667
"8",-,0.304,1,0.9,0.75,0.169666666666667,0.0915786797676984,0.169666666666667
""
2025
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",310022.452110009,0.787,0.09,0.9,0.75,0.059,0.0268362973251558,0.059
"2",-,0.38,0.866666666666667,0.9,0.75,0.094,0.184153017976735,0.094
"3",-,0.353,0.963333333333333,0.9,0.75,0.115333333333333,0.202382368564895,0.115333333333333
"4",-,0.335,1,0.9,0.75,0.131333333333333,0.219167681890593,0.131333333333333
"5",-,0.315,1,0.9,0.75,0.142666666666667,0.245216124616698,0.142666666666667
"6",-,0.311,1,0.9,0.75,0.152,0.244713767091149,0.152
"7",-,0.304,1,0.9,0.75,0.161666666666667,0.0915786797676984,0.161666666666667
"8",-,0.304,1,0.9,0.75,0.169666666666667,0.0915786797676984,0.169666666666667
""
