"","Year","Recruits Age 1 (Thousands) Mean","Recruits Age 1 (Thousands) Low","Recruits Age 1 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 4-6 Mean","Mean F ages 4-6 Low","Mean F ages 4-6 High","SoP (%)"
"1",1980,174555.845335205,86487.1909109136,352303.535584519,37384.0716135969,26121.0400305487,53503.5668095939,14633.958037885,9881.83201330077,21671.35887013,5786.59896568851,3856.29593725904,8683.13224257043,0.395422684054984,0.390240992972612,0.400673178576658,0.292848461500854,0.201831194851287,0.424910636171018,1.03079996231037
"2",1981,196811.16604022,97605.8198271539,396847.5972714,37086.1921472423,25815.067188433,53278.4066740082,13790.0141928498,9616.88416669767,19774.0232847474,4986.55215985105,3687.98825493183,6742.34859876874,0.361606020857949,0.383490971816316,0.340969993899492,0.28490485401891,0.199569087368924,0.40673020513184,1.09986977381768
"3",1982,212139.636591877,105016.168185019,428536.159632549,41109.7253905602,28320.6131967257,59674.1853697808,14012.4289935118,9624.2997185999,20401.2938124474,5309.2188808652,3899.24880709508,7229.03474988437,0.37889354396183,0.405146236204531,0.354341975383627,0.276622919956817,0.196548590174366,0.38931970856444,1.01657672502575
"4",1983,168552.069695092,81027.8336550591,350617.792886351,42108.293688693,29152.1632499171,60822.5325226342,15096.2251275962,10301.846190995,22121.8613516357,5713.57384982577,4119.37363316284,7924.73056452232,0.378476990210039,0.399867514694954,0.35823073106533,0.272995491113864,0.196889937355203,0.378518776376311,1.01647241291635
"5",1984,125366.910405991,62122.8527859493,252996.466194136,41439.9222199544,30202.3676712461,56858.6930762642,16108.4619523095,11396.058169688,22769.499997744,6121.72990634644,4613.36682393185,8123.25975291013,0.380031931320964,0.404821277255567,0.356760568028063,0.276512292915717,0.204180433115501,0.374468047534486,1.03918740777177
"6",1985,169396.940460334,84493.9488889978,339613.946497161,45297.1773782998,33287.818558832,61639.1931725655,15829.0161505627,11821.2968319875,21195.4539215008,6337.24873641838,5061.94259165168,7933.85559399089,0.400356451477441,0.428205353743799,0.37431873945114,0.288603934407405,0.219394368324617,0.379646166815888,0.980215957331011
"7",1986,208772.412036666,104293.466749488,417916.111009144,46723.3818326928,34636.0109945872,63029.0367509345,18311.7827910757,13712.7645909516,24453.2301829784,6813.08290944346,5465.85806901924,8492.37176392316,0.372060054838781,0.3985963612783,0.347290386602364,0.294581374490138,0.226876287284013,0.382491212437141,1.02383037634409
"8",1987,258590.239244488,127674.993422715,523743.217366987,45387.8623878376,33184.2684254909,62079.3571737994,16547.6603130711,12110.7697778788,22610.0460052465,6485.9916533843,5191.42549345822,8103.37888519855,0.391958230388678,0.428661892569434,0.358397275411037,0.300412124115942,0.23296412668389,0.387387730465082,0.963222222222222
"9",1988,112983.831117416,56333.4175383729,226603.438097351,42531.4890758936,31920.9176632759,56669.0338321313,19339.4049365539,13861.0385306763,26983.0130312579,7460.66625849463,5859.10183297203,9500.01256291631,0.385775378455055,0.422702946825022,0.352073823331413,0.309994724310805,0.240796090775563,0.399079274048931,0.950494691309477
"10",1989,145219.257501588,72068.9371253522,292617.507493309,38832.0027972095,28606.1554736078,52713.2855246385,14576.9967482505,10652.6162686872,19947.1030251135,5914.13188123138,4685.52102592912,7464.9021346909,0.405716759314033,0.43984697352724,0.374234901443711,0.30891163928017,0.24057167713842,0.396665152015612,0.996578096585169
"11",1990,127899.489991206,64334.0037404098,254271.125515783,36827.4952975302,27659.4411292955,49034.4111997665,13997.0237960309,10384.3256583133,18866.5765686781,5898.77511079272,4689.9631299898,7419.15167418029,0.421430669601734,0.451638679709085,0.393243132752416,0.310584274182017,0.242562662481276,0.397681120343972,0.98715525982256
"12",1991,80097.5062809971,40272.0274906795,159306.866631415,28509.7097153173,21948.577279962,37032.1746910543,9681.76985675782,7223.80282291157,12976.0833534827,4953.25393399967,3962.04981351499,6192.43212212845,0.511606246304474,0.548471478339448,0.477218892129452,0.309684884532204,0.242781649820125,0.395024614828918,0.999425193269668
"13",1992,249945.956631118,125367.110993208,498320.338893581,32597.797378647,22715.2458186646,46779.8764944994,10333.0213251191,7771.16058774823,13739.4316459884,4103.5182726399,3344.24286947903,5035.17922324603,0.397126662524584,0.430340208739408,0.366476529232284,0.314176609673744,0.246718516873619,0.400079180585584,0.989031878557875
"14",1993,64151.3234253425,33226.6119971103,123858.318674826,30001.420214287,22512.8244190742,39980.9991904713,10366.1399549059,7746.41318208084,13871.8210659441,5279.57034850443,3979.56899619055,7004.24168835607,0.509309190448062,0.513730536010675,0.504925896539407,0.315089044232444,0.247023155446784,0.401910118975479,0.986875708777501
"15",1994,160813.405533861,85800.5589479752,301407.726435428,30946.0300470451,22904.7776778001,41810.3501873675,11706.5055948005,8743.75665912196,15673.1572690928,4440.84521034541,3539.60068883031,5571.56242072174,0.37934848912709,0.40481463824106,0.355484368915812,0.318414909432856,0.248517503327598,0.407971483664406,0.975682477216239
"16",1995,141068.377694658,73674.852089784,270109.63199697,30424.3940052746,22373.0681555761,41373.1252303671,11450.6296644645,8424.53196026791,15563.7037560178,4760.4619936253,3610.36299895902,6276.93071286326,0.415738010320845,0.428553540539267,0.403305717666094,0.32081199910352,0.248905791872965,0.413491136523352,1.00071158392435
"17",1996,91126.141866193,46546.6353616764,178401.159759326,25514.4439449559,19005.6275284093,34252.320732226,9434.23147693352,6802.56074212423,13084.0027651954,4699.91639856223,3614.25273169256,6111.6960526249,0.498176921994486,0.531307674962994,0.467112103406347,0.32579074181241,0.250298668543807,0.424051826037198,0.999887568383324
"18",1997,131662.880617773,68703.4297125508,252318.031357367,24785.1509298405,17881.5154169681,34354.118892633,8938.2938014167,6317.89144908722,12645.5316183039,4141.03071165169,3200.79981581629,5357.45324343855,0.463290959511238,0.506624693002398,0.423663741877317,0.334138400192468,0.252391455979341,0.442362321854193,0.999633588933995
"19",1998,168720.706068921,90326.9550140262,315151.514317901,27501.6147469023,19597.0750119909,38594.4745950226,9992.59902031522,7273.56338727569,13728.0765787351,3886.63879456123,3038.33576872664,4971.78793564323,0.388951741850102,0.41772314434516,0.362162019357072,0.337597811096585,0.250688135606895,0.454637718619145,0.99513251783894
"20",1999,80579.5359616368,42454.8993633666,152940.219224626,23365.129556141,17325.9871363146,31509.2741833454,9514.76422378792,6736.97035079328,13437.9006467818,3963.17202491981,3005.51676328547,5225.96735808495,0.416528663423047,0.446122901955709,0.38889760353575,0.330086677473448,0.244228259801054,0.4461286123654,1.00011533801793
"21",2000,83616.8220897678,43513.6516988833,160679.985784124,20714.7233631414,15373.2766717142,27912.0563022839,9150.83123958852,6579.23134087851,12727.5829100498,3207.34894156618,2525.31023624077,4073.5934481774,0.350498097669038,0.383830588316655,0.320060256292722,0.32116508646498,0.23682287029458,0.4355449819342,0.999316183816184
"22",2001,117125.349086813,59742.491701616,229624.627429738,21364.8002792444,14756.1142308205,30933.2581621401,7301.24382785792,4995.46210341615,10671.3173536796,3135.98939572708,2462.55227192841,3993.59217760335,0.429514404622634,0.492957852736865,0.374236098997311,0.3258233225156,0.235386884855677,0.451005745541833,1.00037007874016
