A,Year,RecruitsMean,RecruitsLow,RecruitsHigh,TSB,TSBHigh,TSBLow,SSB,SSBL,SSBH,Land,YSSB,YSSBL,YSSBH,Fbar,Flow,Fhigh,SOP
1,1980,176663.1339,83507.52278,373737.1418,38676.98503,26426.77025,56605.82647,15342.77564,10190.69573,23099.57735,5928.935708,0.386431754,0.382490753,0.390413361,0.298734518,0.21428268,0.41647002,1.030799962
2,1981,193881.0295,92244.61627,407501.8698,36717.17837,25103.92783,53702.79889,13666.46089,9423.727595,19819.34976,4954.244684,0.362511167,0.387674348,0.338981278,0.293816458,0.212959856,0.405372695,1.099869774
3,1982,205664.1958,97864.23108,432208.5909,39815.03963,27102.71537,58489.98371,13500.743,9244.362636,19716.88787,5211.380131,0.386006913,0.413197662,0.36060547,0.288575075,0.210848461,0.394954623,1.016576725
4,1983,156529.5361,72836.52315,336390.2422,39854.87458,27586.68203,57578.90805,14272.64433,9770.22525,20849.91603,5576.407328,0.390705969,0.409564041,0.372716203,0.286103971,0.210870053,0.38817974,1.016472413
5,1984,120813.0997,57422.96561,254180.6211,39695.7735,28828.17251,54660.22632,15293.75723,10857.07695,21543.46066,6014.328593,0.393253829,0.415235272,0.372436025,0.287998502,0.215570258,0.384761507,1.039187408
6,1985,168047.1712,80207.66798,352084.1893,45026.20803,32429.29954,62516.28739,15690.33191,11503.81502,21400.4237,6411.829996,0.408648461,0.443311941,0.376695391,0.294787654,0.225147396,0.385968314,0.980215957
7,1986,207316.1082,99076.58342,433805.5191,46630.02845,33904.53296,64131.82439,18245.97889,13401.44211,24841.78516,6905.683174,0.37847699,0.412193821,0.347518145,0.297839657,0.229430667,0.386646052,1.023830376
8,1987,246964.5295,117261.3871,520132.6738,44578.18978,32160.78718,61789.99888,16433.87447,11833.18084,22823.29948,6522.415097,0.396888458,0.439429493,0.358465808,0.300832996,0.232879343,0.388615366,0.963222222
9,1988,110525.3295,52870.92263,231050.4121,42192.59455,31212.42713,57035.45665,19246.79823,13566.74966,27304.9368,7481.585397,0.388718441,0.431676333,0.350035465,0.306143908,0.23746952,0.394678409,0.950494691
10,1989,139664.7239,66505.63767,293301.9783,37987.02754,27656.53151,52176.25577,14339.88364,10344.24494,19878.90504,5858.799511,0.40856674,0.447526825,0.372998381,0.305471132,0.237147445,0.393479307,0.996578097
11,1990,127261.5886,61220.29309,264544.8285,36461.0556,26889.06023,49440.49974,13853.59438,10097.8075,19006.31174,5858.799511,0.422908261,0.459393196,0.389320954,0.306450205,0.238094125,0.394431102,0.98715526
12,1991,81389.37376,39072.57136,169536.5811,28452.74728,21474.94101,37697.83708,9634.445224,7034.064621,13196.14473,4918.210383,0.51048195,0.556732726,0.468073474,0.305990874,0.237853771,0.393646965,0.999425193
13,1992,257557.9443,122997.9786,539326.7061,33223.07687,22406.76945,49260.68611,10503.88009,7665.07825,14394.04704,4118.729414,0.392115045,0.435849621,0.352768939,0.308386936,0.239467397,0.397141754,0.989031879
14,1993,64408.44261,31813.15619,130400.3744,30181.96984,22188.27333,41055.5292,10462.99473,7612.231192,14381.36284,5259.020123,0.502630486,0.518134717,0.48759019,0.308541168,0.238818268,0.39861964,0.986875709
15,1994,159691.6424,81856.12402,311539.5577,31194.59121,22575.92157,43103.55693,11947.77085,8686.331698,16433.77587,4425.329421,0.370389546,0.404359559,0.339273335,0.309932732,0.238713402,0.402400105,0.975682477
16,1995,149342.8577,75020.05824,297297.6784,31350.95475,22429.53733,43820.89336,11739.32974,8402.50202,16401.28886,4735.771841,0.403410752,0.425292547,0.382654801,0.310739605,0.237908389,0.40586674,1.000711584
17,1996,95702.52867,46523.8331,196866.2809,26476.16041,19224.33109,36463.53503,9853.677355,6930.192018,14010.42816,4687.24374,0.475684719,0.514963528,0.439401898,0.312734716,0.237477594,0.41184097,0.999887568
18,1997,139525.129,69581.83355,279775.0594,26055.91279,18268.36949,37163.17386,9490.057969,6544.267797,13761.84518,4148.906149,0.43718449,0.483096912,0.395635479,0.316605107,0.237387085,0.422258835,0.999633589
19,1998,170246.0462,87502.54871,331232.8231,28141.48215,19571.15348,40464.81055,10432.696,7411.134422,14686.16539,3850.660612,0.369095449,0.40333395,0.33776341,0.31717551,0.235080517,0.427939778,0.995132518
20,1999,84035.95315,42641.58373,165613.9572,24052.63902,17482.07938,33092.71346,9876.366896,6849.216876,14241.42713,3908.465028,0.395739149,0.431424826,0.363005243,0.311455129,0.230104437,0.421566392,1.000115338
21,2000,87816.08822,44110.45023,174826.267,21407.57264,15615.48611,29348.05635,9499.552773,6714.213659,13440.36807,3188.800161,0.335678977,0.372658511,0.302368986,0.304921778,0.224211562,0.414685532,0.999316184
22,2001,125492.34,61774.40506,254932.8867,22742.71151,15419.84199,33543.20539,7854.170943,5294.212914,11651.96833,3173.847966,0.404097134,0.466539588,0.350012084,0.30550168,0.22221631,0.420001918,1.000370079
23,2002,82702.07737,40646.84101,168269.7457,20551.72175,14455.36927,29219.12676,7896.698186,5391.654639,11565.62251,2809.326349,0.35575962,0.416162113,0.30412405,0.299512238,0.216302454,0.414732145,0.998353949
24,2003,144494.9734,72892.7455,286431.7595,23271.85571,15478.12166,34989.98652,6851.343203,4773.87298,9832.87655,2482.695142,0.362366191,0.415402396,0.316101347,0.294581374,0.21115872,0.410961887,1.001041684
25,2004,170757.5512,84934.22395,343302.6161,26186.5186,17545.83713,39082.41889,9734.192829,6597.188154,14362.86306,2700.791075,0.277454035,0.316272087,0.243400365,0.28390943,0.201860341,0.399308571,0.99792335
26,2005,190232.0649,94211.80771,384115.7429,30151.80296,19978.65235,45505.13246,12010.06107,7997.45304,18035.93796,3259.405188,0.27138956,0.315841239,0.233194036,0.275243257,0.193862371,0.390786775,1.006152724
27,2006,318379.7081,161138.1902,629060.3015,38484.08276,25104.39979,58994.62399,12848.72675,8804.462727,18750.69317,3419.330327,0.266122114,0.304176364,0.232828674,0.263289787,0.182204208,0.380460545,1.000499773
28,2007,591253.4182,286947.3418,1218274.413,70403.62273,43263.19705,114570.1296,20369.62297,13930.75131,29784.57735,4873.170349,0.23923714,0.263079556,0.217555519,0.24723895,0.163988135,0.372753178,1.001185569
29,2008,297152.2759,137046.3406,644303.7787,62442.41181,42324.28865,92123.33905,25900.04538,17445.62884,38451.60052,6452.997303,0.249150038,0.264187553,0.234968457,0.238115364,0.153589534,0.369158791,1.000841675
30,2009,365126.8111,170401.5177,782373.2442,65120.84652,43382.42135,97752.14291,26160.34517,17243.42861,39688.3749,6405.421371,0.244852326,0.268885188,0.222967513,0.230708562,0.14506247,0.366920821,1
31,2010,414985.9736,206069.0117,835707.2071,65841.13013,44547.58399,97312.8962,26876.29634,17805.85118,40567.2999,6004.713361,0.223420418,0.256170613,0.19485718,0.22364395,0.1370263,0.365014719,0.998894565
32,2011,281531.6067,132794.1681,596863.9041,57411.50513,39382.32537,83694.42104,26344.11001,17582.71507,39471.27219,6060.211625,0.230040477,0.263693878,0.200682023,0.219412886,0.132841419,0.36240214,1.001400231
33,2012,287793.9351,143794.4891,575998.0763,53690.9641,37032.11544,77843.77402,23623.56477,15477.91116,36056.08061,6082.675941,0.257483407,0.311643304,0.212735855,0.216643962,0.130390902,0.359953076,0.999901809
34,2013,160974.2994,80352.62177,322487.6113,43434.09453,30221.29236,62423.55705,21025.68364,13742.09735,32169.71625,4968.136008,0.236288917,0.283284949,0.19708937,0.212715433,0.125948221,0.3592576,0.998193869
35,2014,354690.196,173109.4271,726737.632,55160.36781,36382.13731,83630.77054,21868.4448,14580.1049,32800.09858,4752.376083,0.217316601,0.259570743,0.181940785,0.209506608,0.122331586,0.358803641,1.001148338
36,2015,344207.5165,173148.0694,684262.9825,54720.8453,37323.14042,80228.26795,20054.32259,13469.7593,29857.6868,4954.244684,0.247041238,0.288187491,0.211769682,0.211126035,0.12528186,0.355791355,1.000056635
37,2016,191760.0251,97293.47449,377948.3405,46258.47642,33052.74838,64740.35429,21448.28569,14435.99472,31866.80018,5315.062235,0.247808254,0.278875342,0.220202082,0.210472558,0.124625106,0.355455647,0.999930899
38,2017,181498.0157,90356.1534,364574.2816,43217.46608,30707.26038,60824.35723,19331.67072,13198.37243,28315.11953,4750.475513,0.245735383,0.280527814,0.21525808,0.209004395,0.122649817,0.356159007,0.999920945
39,2018,376999.8242,188155.3443,755380.4435,53209.9134,35914.71575,78833.83801,18560.66805,12265.12073,28087.6484,5106.655664,0.275133182,0.328435765,0.230481196,0.210809584,0.12490298,0.355801602,1.003113169
40,2019,349409.5469,157883.3898,773273.4371,54611.51298,36511.28975,81684.79861,22902.46899,15460.13416,33927.46017,5707.292374,0.249199873,0.282848234,0.219554409,0.212481575,0.12657402,0.356695786,1.001835973
41,2020,378889.5436,97049.49645,1479217.219,59159.94576,32640.09762,107226.9827,22314.67918,14345.00676,34712.07194,6294.931092,0.282098212,0.322632943,0.246656154,0.212949549,0.126450646,0.35861826,0.993608679
