"Rationale","Fbar (2021)","Catch (2021)","SSB (2021)","Fbar (2022)","Catch (2022)","SSB (2022)","SSB (2023)"
1,0.209355943260638,7341,27504.3776393966,0,0,31605.8712195651,29418.7780067342
1,0.209355943260638,7341,27504.3776393966,0.1,3410.84047812326,29100.2606749382,27327.0231316198
1,0.209355943260638,7341,27504.3776393966,0.2,6536.30556639409,26803.9537294028,25421.654027935
1,0.209355943260638,7341,27504.3776393966,0.3,9402.25100890567,24699.1358398485,23685.2812644473
1,0.209355943260638,7341,27504.3776393966,0.4,12032.1312655138,22769.5214682819,22102.1584437823
1,0.209355943260638,7341,27504.3776393966,0.5,14447.22507109,21000.2222269414,20658.0261338047
1,0.209355943260638,7341,27504.3776393966,0.6,16666.8396611796,19377.6264320633,19339.97067378
1,0.209355943260638,7341,27504.3776393966,0.7,18708.495691879,17889.2890764097,18136.2964336986
1,0.209355943260638,7341,27504.3776393966,0.8,20588.0946882149,16523.8313167783,17036.4102413538
1,0.209355943260638,7341,27504.3776393966,0.9,22320.0706803186,15270.848651319,16030.7168148973
1,0.209355943260638,7341,27504.3776393966,1,23917.5275284473,14120.827033227,15110.5241499011
1,0.209355943260638,7341,27504.3776393966,1.1,25392.3632948103,13065.0662328793,14267.9579105775
1,0.209355943260638,7341,27504.3776393966,1.2,26755.3828907553,12095.6098202689,13495.8839657682
1,0.209355943260638,7341,27504.3776393966,1.3,28016.4001108393,11205.1811941658,12787.8382925542
1,0.209355943260638,7341,27504.3776393966,1.4,29184.330059474,10387.1251342617,12137.9635446779
1,0.209355943260638,7341,27504.3776393966,1.5,30267.2728801084,9635.35439803723,11540.9516501916
1,0.209355943260638,7341,27504.3776393966,1.6,31272.5896103358,8944.30092561669,10991.9918635143
1,0.209355943260638,7341,27504.3776393966,1.7,32206.9709080026,8308.87125378628,10486.7237520266
1,0.209355943260638,7341,27504.3776393966,1.8,33076.4993225636,7724.40577496119,10021.1946470146
1,0.209355943260638,7341,27504.3776393966,1.9,33886.705721856,7186.64150848868,9591.82113369623
1,0.209355943260638,7341,27504.3776393966,2,34642.6204265041,6691.67808052455,9195.35419567944
