year,Recalculated.MIK,hist.MIK
1977,16.60852005,17.1
1978,22.93345618,13.1
1979,93.52348089,52.1
1980,117.6708989,101.1
1981,108.1376642,76.7
1982,117.6800226,133.9
1983,114.1917651,91.8
1984,148.7269348,115
1985,157.7186378,181.3
1986,134.8714448,177.4
1987,235.9824166,270.9
1988,208.0740889,168.9
1989,80.60389649,71.4
1990,21.43633981,25.9
1991,70.1840322,69.9
1992,167.1424207,200.7
1993,201.6183449,190.1
1994,148.599783,101.7
1995,119.5797597,127
1996,93.13993212,106.5
1997,133.5591632,148.1
1998,50.54348926,53.1
1999,253.7039263,244
2000,110.9762591,137.1
2001,282.7741438,214.8
2002,146.8933945,161.8
2003,80.20269893,54.4
2004,46.81460295,47.3
2005,63.33195244,61.3
2006,85.97477682,83.1
2007,48.23890003,37.2
2008,37.74657868,27.8
2009,95.78452249,95.8
