"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.378724512575659,0.0246995569902092,0.00473685878864277,0.00469489301886408,0.382115717548025,0.0360707799775042,620622.108068962,9668.99999999937,7845.17400000337,1837.88400000001,1403155.9935827,NA
"mpA",0.188746759852055,0.0384742741343843,0,0,0.189316117102711,0.0394408577297314,259307.4807036,16204.0523511288,0,0,1183225.73189194,1196101.88417764
"mpAC",0.188746759852055,0.0384742741343843,0,0,0.189316117102711,0.0394408577297314,259307.4807036,16204.0523511288,0,0,1183225.73189194,1196101.88417764
"mpAD",0.188746759852055,0.0384742741343843,0,0,0.189316117102711,0.0394408577297314,259307.4807036,16204.0523511288,0,0,1183225.73189194,1196101.88417764
"mpB",0.188592929341585,0.049034204180018,0,0,0.189318556538151,0.0499999999999988,259110.850446311,20544.9367085519,0,0,1183240.97836365,1193994.76569076
"tacro",0.531172665683403,0.0490289633568368,5.69643125300622e-08,2.3890486072521e-07,0.531898254410355,0.0517494266362946,600588.045992326,20522.3800001106,0.100000000034616,0.0999999999998485,945702.61322699,834831.423109471
"-15%",0.426871256186376,0.0490139291294932,5.6587039086201e-08,2.38831603008777e-07,0.427596622194458,0.0512002581196698,510499.84599942,20522.379999988,0.100000000000372,0.100000000000063,1010324.98316039,919442.877758799
"+15%",0.648753361129244,0.0490457494587499,5.73788106166639e-08,2.38986654838629e-07,0.649479198523345,0.0523683511013249,690676.244098458,20522.3800012044,0.100000004815981,0.0999999999987773,879635.288695405,756667.754937736
"fmsy",0.259274996228742,0.0489894776758287,5.59602331773672e-08,2.38712457741829e-07,0.260000000001772,0.0503175353163969,341293.306874272,20522.3799942329,0.100000000007162,0.0999999999908594,1127882.10799358,1097603.45615755
"fmsyAR",0.215085542063577,0.0489829685344508,5.57904250594206e-08,2.38680737141601e-07,0.21581044940536,0.0500847291008082,290755.355222473,20522.38,0.1,0.0999999986292169,1162056.26602886,1156082.86661645
"fpa",0.299274909273774,0.0489953470916749,5.61122602767392e-08,2.38741057774595e-07,0.3,0.0505282468915879,384762.018758783,20522.3799996472,0.0999999999930552,0.10000000000001,1098148.23836335,1049300.5566312
"flim",0.339274822636234,0.0490011952426233,5.62627344831021e-08,2.38769554230151e-07,0.34,0.0507389372018501,426207.183605052,20522.3799996691,0.0999999999930369,0.100000000000009,1069501.00306047,1004911.85021307
"fsq",0.381390449301227,0.0490073300141858,5.64195356270191e-08,2.38799447310319e-07,0.382115717548025,0.0509607488364856,467795.577954112,20522.3799996942,0.100000000000011,0.100000000000015,1040458.78329072,961954.11127593
"bpa",0.611212116343791,0.049040408350492,5.72476636429514e-08,2.38960629081544e-07,0.611937874615866,0.0521707588463304,663117.342636302,20522.3799999975,0.100000000000002,0.100000000000014,899999.999999999,779925.870346477
"blim",0.808296403493465,0.0490682606107979,5.79243368186398e-08,2.39096345605489e-07,0.809022574358417,0.0532078924969224,796737.305400372,20522.3799997597,0.100000000000157,0.0999999999997945,8e+05,672191.188997775
"MSYBtrigger",3.78724512575659e-09,0.0489502235211372,5.49340045397047e-08,2.38524402835581e-07,0.000724426018809351,0.0489505169989393,0.00587759484237423,20522.1029543081,0.0999999999607282,0.0999999999998557,1350824.55924499,1545140.8522472
"nf",0,0,0,0,0,0,0,0,0,0,1351350.29320376,1556488.15154473
