


Die berechneten Kennzahlen
--------------------------

                                                            e
Year	MLAI	Intercept	MLAIPlus	eMLAI	eMLAINrm
1973	0.39733	6.78139	7.1787	1311.23	13.112
1974	-0.14757	6.78139	6.6338	760.38	7.604
1975	-1.12142	6.78139	5.6600	287.14	2.871
1976	-1.26419	6.78139	5.5172	248.94	2.489
1977	-0.36162	6.78139	6.4198	613.86	6.139
1978	-0.18809	6.78139	6.5933	730.18	7.302
1979	0.44157	6.78139	7.2230	1370.54	13.705
1980	0.05425	6.78139	6.8356	930.43	9.304
1981	0.43787	6.78139	7.2193	1365.48	13.655
1982	0.81296	6.78139	7.5943	1986.93	19.869
1983	1.0404	6.78139	7.8218	2494.36	24.944
1984	1.64281	6.78139	8.4242	4555.99	45.56
1985	2.07021	6.78139	8.8516	6985.57	69.856
1986	1.41797	6.78139	8.1994	3638.63	36.386
1987	1.98501	6.78139	8.7664	6415.01	64.15
1988	2.67497	6.78139	9.4564	12789.25	127.892
1989	2.67178	6.78139	9.4532	12748.52	127.485
1990	2.93833	6.78139	9.7197	16642.59	166.426
1991	2.29241	6.78139	9.0738	8723.71	87.237
1992	1.50846	6.78139	8.2898	3983.21	39.832
1993	1.19704	6.78139	7.9784	2917.34	29.173
1994	0.8229	6.78139	7.6043	2006.79	20.068
1995	0.83626	6.78139	7.6177	2033.78	20.338
1996	1.50678	6.78139	8.2882	3976.56	39.766
1997	1.75819	6.78139	8.5396	5113.19	51.132
1998	1.98688	6.78139	8.7683	6427.01	64.27
1999	1.82594	6.78139	8.6073	5471.6	54.716
2000	1.44729	6.78139	8.2287	3746.89	37.469
2001	2.64465	6.78139	9.4260	12407.32	124.073
2002	2.44369	6.78139	9.2251	10148.5	101.485
2003	3.32641	6.78139	10.1078	24533.62	245.336
2004	3.5406	6.78139	10.322	30393.49	303.935
2005	3.02996	6.78139	9.8114	18239.61	182.396
2006	2.536		6.78139	9.3174	11129.84	111.298
2007	2.89032	6.78139	9.6717	15862.5	158.625
2008	2.99885	6.78139	9.7802	17680.88	176.809
2009	3.94624	6.78139	10.7276	45598.32	455.983
2010	3.7462	6.78139	10.5276	37331.53	373.315
2011	3.55452	6.78139	10.3359	30819.81	308.198
2012	4.29614	6.78139	11.0775	64700.73	647.007
2013	3.55885	6.78139	10.3402	30953.56	309.536
2014	3.4654	6.78139	10.2468	28191.88	281.919
2015	2.82762	6.78139	9.60900	14898.34	148.983
