"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages NA-NA","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","4631180","34664500","0","0.134","23140100","0"
"0.01","55233","4378892","34664500","0.0016","0.126","22073116","55233"
"0.02","103267","4156429","34664500","0.003","0.12","21126503","103267"
"0.03","145405","3958506","34664500","0.0042","0.114","20279115","145405"
"0.04","182651","3781032","34664500","0.0053","0.109","19514570","182651"
"0.051","215797","3620789","34664500","0.0062","0.104","18819975","215797"
"0.061","245470","3475210","34664500","0.0071","0.1","18185041","245470"
"0.071","272178","3342221","34664500","0.0079","0.096","17601455","272178"
"0.081","296334","3220131","34664500","0.0085","0.093","17062425","296334"
"0.091","318277","3107543","34664500","0.0092","0.09","16562344","318277"
"0.101","338288","3003295","34664500","0.0098","0.087","16096541","338288"
"0.111","356604","2906413","34664500","0.0103","0.084","15661092","356604"
"0.121","373423","2816072","34664500","0.0108","0.081","15252676","373423"
"0.131","388915","2731569","34664500","0.0112","0.079","14868461","388915"
"0.141","403223","2652302","34664500","0.0116","0.077","14506016","403223"
"0.152","416472","2577751","34664500","0.012","0.074","14163242","416472"
"0.162","428769","2507467","34664500","0.0124","0.072","13838317","428769"
"0.172","440207","2441056","34664500","0.0127","0.07","13529649","440207"
"0.182","450866","2378175","34664500","0.013","0.069","13235844","450866"
"0.192","460819","2318520","34664500","0.0133","0.067","12955671","460819"
"0.202","470127","2261825","34664500","0.0136","0.065","12688040","470127"
"0.212","478847","2207851","34664500","0.0138","0.064","12431985","478847"
"0.222","487027","2156388","34664500","0.014","0.062","12186642","487027"
"0.232","494711","2107246","34664500","0.0143","0.061","11951238","494711"
"0.242","501938","2060255","34664500","0.0145","0.059","11725077","501938"
"0.253","508744","2015263","34664500","0.0147","0.058","11507535","508744"
"0.263","515158","1972133","34664500","0.0149","0.057","11298044","515158"
"0.273","521211","1930739","34664500","0.015","0.056","11096091","521211"
"0.283","526927","1890968","34664500","0.0152","0.055","10901210","526927"
"0.293","532330","1852718","34664500","0.0154","0.053","10712974","532330"
"0.303","537441","1815894","34664500","0.0155","0.052","10530993","537441"
"0.313","542278","1780411","34664500","0.0156","0.051","10354913","542278"
"0.323","546860","1746189","34664500","0.0158","0.05","10184405","546860"
"0.333","551203","1713158","34664500","0.0159","0.049","10019167","551203"
"0.343","555321","1681249","34664500","0.016","0.049","9858922","555321"
"0.354","559227","1650402","34664500","0.0161","0.048","9703413","559227"
"0.364","562934","1620560","34664500","0.0162","0.047","9552402","562934"
"0.374","566454","1591670","34664500","0.0163","0.046","9405668","566454"
"0.384","569797","1563684","34664500","0.0164","0.045","9263007","569797"
"0.394","572973","1536557","34664500","0.0165","0.044","9124227","572973"
"0.404","575990","1510247","34664500","0.0166","0.044","8989151","575990"
"0.414","578858","1484714","34664500","0.0167","0.043","8857613","578858"
"0.424","581584","1459922","34664500","0.0168","0.042","8729457","581584"
"0.434","584175","1435837","34664500","0.0169","0.041","8604538","584175"
"0.444","586638","1412427","34664500","0.0169","0.041","8482719","586638"
"0.455","588979","1389662","34664500","0.017","0.04","8363873","588979"
"0.465","591205","1367514","34664500","0.0171","0.039","8247879","591205"
"0.475","593321","1345957","34664500","0.0171","0.039","8134624","593321"
"0.485","595331","1324966","34664500","0.0172","0.038","8024001","595331"
"0.495","597242","1304517","34664500","0.0172","0.038","7915909","597242"
"0.505","599056","1284589","34664500","0.0173","0.037","7810254","599056"
"0.515","600780","1265161","34664500","0.0173","0.036","7706945","600780"
"0.525","602416","1246213","34664500","0.0174","0.036","7605896","602416"
"0.535","603969","1227727","34664500","0.0174","0.035","7507029","603969"
"0.545","605442","1209686","34664500","0.0175","0.035","7410265","605442"
"0.556","606839","1192072","34664500","0.0175","0.034","7315532","606839"
"0.566","608162","1174870","34664500","0.0175","0.034","7222762","608162"
"0.576","609415","1158065","34664500","0.0176","0.033","7131889","609415"
"0.586","610600","1141644","34664500","0.0176","0.033","7042850","610600"
"0.596","611721","1125592","34664500","0.0176","0.032","6955586","611721"
"0.606","612780","1109896","34664500","0.0177","0.032","6870040","612780"
"0.616","613780","1094546","34664500","0.0177","0.032","6786158","613780"
"0.626","614722","1079528","34664500","0.0177","0.031","6703890","614722"
"0.636","615609","1064833","34664500","0.0178","0.031","6623184","615609"
"0.646","616443","1050449","34664500","0.0178","0.03","6543995","616443"
"0.657","617226","1036366","34664500","0.0178","0.03","6466277","617226"
"0.667","617960","1022575","34664500","0.0178","0.029","6389987","617960"
"0.677","618647","1009067","34664500","0.0178","0.029","6315084","618647"
"0.687","619288","995833","34664500","0.0179","0.029","6241528","619288"
"0.697","619885","982864","34664500","0.0179","0.028","6169282","619885"
"0.707","620440","970152","34664500","0.0179","0.028","6098309","620440"
"0.717","620954","957691","34664500","0.0179","0.028","6028573","620954"
"0.727","621429","945471","34664500","0.0179","0.027","5960042","621429"
"0.737","621866","933487","34664500","0.0179","0.027","5892683","621866"
"0.747","622267","921732","34664500","0.018","0.027","5826465","622267"
"0.758","622632","910198","34664500","0.018","0.026","5761358","622632"
"0.768","622963","898881","34664500","0.018","0.026","5697334","622963"
"0.778","623261","887772","34664500","0.018","0.026","5634365","623261"
"0.788","623527","876868","34664500","0.018","0.025","5572424","623527"
"0.798","623762","866163","34664500","0.018","0.025","5511485","623762"
"0.808","623968","855650","34664500","0.018","0.025","5451524","623968"
"0.818","624144","845325","34664500","0.018","0.024","5392517","624144"
"0.828","624293","835183","34664500","0.018","0.024","5334441","624293"
"0.838","624415","825219","34664500","0.018","0.024","5277274","624415"
"0.848","624511","815429","34664500","0.018","0.024","5220993","624511"
"0.859","624582","805808","34664500","0.018","0.023","5165579","624582"
"0.869","624628","796351","34664500","0.018","0.023","5111011","624628"
"0.879","624651","787055","34664500","0.018","0.023","5057270","624651"
"0.889","624651","777916","34664500","0.018","0.022","5004336","624651"
"0.899","624629","768930","34664500","0.018","0.022","4952193","624629"
"0.909","624586","760093","34664500","0.018","0.022","4900822","624586"
"0.919","624521","751401","34664500","0.018","0.022","4850205","624521"
"0.929","624437","742851","34664500","0.018","0.021","4800328","624437"
"0.939","624333","734440","34664500","0.018","0.021","4751173","624333"
"0.949","624210","726165","34664500","0.018","0.021","4702726","624210"
"0.96","624069","718021","34664500","0.018","0.021","4654970","624069"
"0.97","623911","710007","34664500","0.018","0.02","4607892","623911"
"0.98","623735","702119","34664500","0.018","0.02","4561478","623735"
"0.99","623542","694354","34664500","0.018","0.02","4515713","623542"
"1","623334","686710","34664500","0.018","0.02","4470585","623334"
