"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.192758580469102,0.046420760662489,0.00172070999011202,0.00247616641800539,0.194202996120604,0.0515240288772051,397647.775736401,11323.5363304432,2885.78909274631,604.017685069186,1528854.31382438,NA
"fmsyAR",0.238637860262104,0.046420760662489,0.0000000602376030190827,0.000000373937825911088,0.238973102488218,0.0475433207674585,418665.98720985,12414.0318111403,0.1,0.1,1286778.24416733,1167693.03157974
"fmsyAR_transfer",0.237601794275012,0.0464206178458896,0.00000000592713884036877,0.0000000339186543080158,0.237936998569016,0.0475379118187878,417158.89331743,12414.0343416311,0.00984037745600018,0.00907069657710093,1287800.1598553,1169336.46668162
"fmsyAR_no_transfer",0.238637893210967,0.046420760662489,0.0000000113992444120409,0.0000000339187586982586,0.238973102006841,0.0475429320649653,418666.037899984,12414.0343261923,0.0189238028,0.00907069657568683,1286778.2419305,1167693.10724924
"mpA",0.202564856456393,0.04315107255867,0,0,0.202876447570463,0.0441035755587963,364811.203643606,11562.1314076026,0,0,1323107.26676389,1227782.52753683
"mpAC",0.202564856456393,0.04315107255867,0,0,0.202876447570463,0.0441035755587963,364811.203643606,11562.1314076026,0,0,1323107.26676389,1227782.52753683
"mpAD",0.202564856456393,0.04315107255867,0,0,0.202876447570463,0.0441035755587963,364811.203643606,11562.1314076026,0,0,1323107.26676389,1227782.52753683
"mpB",0.206864160480669,0.0490272807587487,0,0,0.207218183315458,0.05,371378.967791023,13093.0644425386,0,0,1318661.16655291,1219869.01437255
"fmsy",0.259685340738504,0.046420760662489,0.0000000603340222884098,0.000000373960571405918,0.260020583025935,0.0476422906124167,448792.224908842,12413.2770198035,0.100000000106419,0.100000002177835,1266279.64413185,1135207.56977441
"nf",0,0,0,0,0,0,0,0,0,0,1558517.42143886,1699798.12564972
"tacro",0.215868625102471,0.046420760662489,0.0000000601328065529804,0.000000373913181493406,0.216203867261942,0.0474362548558305,385008.047999863,12414.8500133325,0.099999999999992,0.0999999999999936,1309519.05096789,1204809.57406209
"-15%",0.178515208123966,0.046420760662489,0.0000000599597587929059,0.000000373872645338624,0.178850450173391,0.0472606109380058,327256.848000011,12416.1960606466,0.100000000000026,0.0999999999997422,1348147.72887035,1270562.29035022
"+15%",0.255418302856907,0.046420760662489,0.0000000603145095686472,0.000000373955956945742,0.25575354513193,0.0476222260694239,442759.247914034,12413.4299222807,0.1,0.0999999999852758,1270395.57284591,1141657.8810586
"fsq",0.193879333114552,0.046420760662489,0.0000000600311081180769,0.000000373889343200592,0.19421457520935,0.0473328564066381,351403.621336263,12415.6418389225,0.100000000214372,0.100000002290347,1332056.0119748,1242748.5671286
"fpa",0.299692023760311,0.046420760662489,0.0000000605161214629202,0.00000037400367622063,0.300027266163547,0.0478304107626165,503581.309309019,12411.8463852653,0.100000000204744,0.100000002380962,1228647.61082027,1077871.36342679
"flim",0.339699604138956,0.046420760662489,0.0000000606967280676949,0.000000374046630625129,0.340034846657049,0.048018535130736,555333.213832285,12410.4210075572,0.100000000106036,0.100000002073796,1192680.06630929,1025723.14847038
"bpa",0.753344343198601,0.046420760662489,0.0000000624865846506605,0.00000037448223265765,0.753679586855029,0.0499635828188343,957155.434823056,12395.9850850535,0.100000000201292,0.10000000224884,899590.430208186,679383.341321729
"blim",0.947213938587046,0.046420760662489,0.0000000632840026339775,0.000000374681231910897,0.947549182750661,0.0508751998500919,1087847.39928107,12389.4013624888,0.100000000200227,0.100000002130231,799617.831729188,585306.619776015
"MSYBtrigger",0.131291112094781,0.046420760662489,0.0000000597389199363881,0.000000373821215137736,0.131626354003771,0.0470385529310786,249402.496853202,12417.9045485037,0.100000000100808,0.100000002187323,1399456.95364972,1363453.1627118
