"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.196872216436678,0.0178721542744547,0.00196743531291475,0.000767512147782644,0.198219627272565,0.0213960612460906,391200.478119464,5614.98000978531,3330.39373833602,241.132954700752,1288877.0344143,NA
"fmsyAR_transfer",0.223931653014302,0.0178723866003716,0.00190743598800312,0.00074999586934469,0.225241212073259,0.0214272178502977,364433.031435803,5746.19350203386,3330.39373833599,241.132954839456,1182632.6329937,1172145.9301904
"fmsyAR_transfer_Btarget",0.223763659998466,0.0464511521682445,0.00191152905469574,0.000761041982761026,0.225243817183515,0.0500204493713001,364183.234649859,14717.8524039672,3330.39372345281,241.132954785061,1182633.63041696,1169578.36289709
"fmsyAR_no_transfer",0.213984733811578,0.0178719624723085,0.00382068846442826,0.000750410151160771,0.216498067379734,0.0233005984996866,350625.925010512,5742.88489195399,6660.7874718718,241.132954847429,1190466.48264456,1182742.73686781
"fmsyAR_no_transfer_Btarget",0.213827191906364,0.0445369275353077,0.00382834792105651,0.000760725391005925,0.216502115754327,0.0499829069146925,350389.353636689,14117.2111028302,6660.78747666577,241.132954840673,1190467.98131668,1180358.26475232
"mpA",0.194978370585372,0.0247886191080414,0.00196614285148706,0.000761645226801707,0.196365581948439,0.0282977771667413,311731.073909298,12664.8227496647,3436.38628200113,244.022926415919,1208606.11919133,1215227.77749965
"mpAC",0.194978370585372,0.0247886191080414,0.00196614285148706,0.000761645226801707,0.196365581948439,0.0282977771667413,311731.073909298,12664.8227496647,3436.38628200113,244.022926415919,1208606.11919133,1215227.77749965
"mpAD",0.194978370585372,0.0247886191080414,0.00196614285148706,0.000761645226801707,0.196365581948439,0.0282977771667413,311731.073909298,12664.8227496647,3436.38628200113,244.022926415919,1208606.11919133,1215227.77749965
"mpB",0.199023232126025,0.0305844220801265,0.00196561706247323,0.000760263699725632,0.200444166598816,0.0341078824842148,317478.967449827,15579.4929482036,3433.20492847767,242.855766374508,1204884.00548615,1208334.59115872
"fmsy",0.258692412398834,0.0178721542744547,0.0019111218631401,0.000750072289287787,0.260004289609609,0.0215700505215904,410792.598754796,5745.58615833558,3330.43942443316,241.135170215203,1152541.77454548,1123365.99769626
"nf",0,0,0,0,0,0,0,0,0,0,1411565.23286931,1623713.75632957
"tacro",0.248375108715507,0.0178721542744547,0.00191001053658581,0.000750044748305036,0.24968628654325,0.0215275653685514,397271.999994067,5745.74434299655,3330.39373833658,241.132954840691,1161342.8001162,1137423.00421904
"-15%",0.205947227748358,0.0178721542744547,0.0019055381465684,0.000749959691185166,0.207255591151018,0.0213529794591767,339520.8,5746.39599978143,3330.3937368056,241.132954832624,1198701.13528544,1199045.30564971
"+15%",0.293530629968702,0.0178721542744547,0.00191475235235278,0.000750134966825775,0.294844791768361,0.0217133568018285,455023.199299027,5745.05330394818,3330.39373834496,241.132954840777,1123608.6614786,1078336.29873073
"fsq",0.19691437210556,0.0178721542744547,0.0019046101123038,0.000749948494060713,0.198222151544545,0.0213158413293381,326759.659642543,5746.53496800688,3330.43963458368,241.135186007423,1206904.33397137,1213013.472255
"fpa",0.298691146954064,0.0178721542744547,0.00191531934758262,0.000750152126240537,0.300005665594961,0.0217346215737316,461394.377274769,5744.97442767701,3330.4392886647,241.135160089755,1119423.34257355,1071968.71797912
"flim",0.338690068037935,0.0178721542744547,0.00191950264399619,0.000750231717879928,0.34000721918073,0.0218991789400384,509279.092624565,5744.36470415424,3330.43915047689,241.13514990671,1087829.10197433,1025045.52917264
"bpa",0.623682930166976,0.0178721542744547,0.00194892549964287,0.000750791892981865,0.625018596787726,0.0230712623300758,787947.380073459,5740.07705759127,3330.43806685784,241.135078275964,899914.83647859,781801.009714008
"blim",0.820803835638224,0.0178721542744547,0.00196891925040562,0.000751172513696746,0.822152084105201,0.0238815928263496,934035.447974858,5737.16739465664,3330.43731524578,241.135029787826,799920.64049481,671793.686915706
"MSYBtrigger",0.00909530893800635,0.0178721542744547,0.00188458508632834,0.000749568415220617,0.0103904868563027,0.0205427569541632,17443.2054613001,5749.44998604084,3330.44033247953,241.135234636303,1399886.58750941,1593323.80125028
