"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.196852695059074,0.0178722622872211,0.001967625853874,0.000767516786349213,0.198200180762696,0.0213963503238925,391200.478107484,5614.98001301638,3330.39373833588,241.132954840686,1287790.11956433,NA
"fmsyAR_transfer",0.220135369724883,0.0199860970419372,0.00000000775995197849962,0.0000000112641950039843,0.220252827839615,0.0208683736673212,359366.784647255,6425.03328131646,0.0135779261999988,0.00362115863022063,1185976.56959081,1180567.50372013
"fmsyAR_transfer_Btarget",0.219965884181536,0.0491184029390566,0.00000000777688696762374,0.0000000114330793987453,0.220254545397862,0.050000000486818,359113.716735092,15557.097323976,0.0135779261477271,0.00362115863456944,1185985.81584522,1177999.9843858
"fmsyAR_no_transfer",0.220135333700293,0.0199860937712635,0.0000000155199040529373,0.0000000112641950877528,0.220252796678028,0.0208683780122205,359366.734647255,6425.03222616437,0.0271558523999976,0.00362115865505813,1185976.59749717,1180567.54043725
"fmsyAR_no_transfer_Btarget",0.219965847829336,0.0491183948216068,0.0000000155537740855453,0.0000000114330794426186,0.220254513890836,0.0500000000005633,359113.666278324,15557.0947815935,0.0271558524000237,0.00362115865512902,1185985.84406459,1178000.02209794
"mpA",0.186303190877355,0.0398048813738673,0,0,0.186537113956093,0.0405515465121941,311657.60365325,12668.281119014,0,0,1216546.39536582,1230793.52750664
"mpAC",0.186303190877355,0.0398048813738673,0,0,0.186537113956093,0.0405515465121941,311657.60365325,12668.281119014,0,0,1216546.39536582,1230793.52750664
"mpAD",0.186303190877355,0.0398048813738673,0,0,0.186537113956093,0.0405515465121941,311657.60365325,12668.281119014,0,0,1216546.39536582,1230793.52750664
"mpB",0.190295954576147,0.0492373326802536,0,0,0.190585309751991,0.05,317404.87558645,15595.0655286486,0,0,1212815.60751267,1223493.78005607
"fmsy",0.259861341197649,0.0235928192235303,0.0000000155581315761266,0.0000000112862643181929,0.26,0.0246343172491624,412470.437421746,7569.67399731002,0.0271558524030084,0.00362115865538382,1151508.68413714,1124227.88940864
"nf",0,0,0,0,0,0,0,0,0,0,1410557.79626615,1622539.16764419
"tacro",0.239035272822369,0.0217020198300908,0.0000000155381018806889,0.0000000112746931682805,0.239162819868964,0.0226600511956066,385008,6970.16369023565,0.0271558524,0.00362115865506368,1169373.73122522,1153096.17081352
"-15%",0.197175278566833,0.0179015496538913,0.0000000154977701029143,0.0000000112514455035695,0.19728049119943,0.0186918146483694,327256.797810642,5761.42429412045,0.0271558523999989,0.00362115865506349,1206661.13170058,1215687.30602437
"+15%",0.283564643155935,0.0257448427431705,0.0000000155808999986666,0.0000000112994381431867,0.283715948862965,0.0268813387978127,442759.199644427,8250.51289642205,0.0271558524,0.00362115865506368,1131707.068002,1093040.75641128
"fsq",0.198094477691089,0.0179850037708794,0.0000000154986568011753,0.0000000112519558511358,0.198200180762688,0.0187789527291067,328563.12993008,5788.02058307922,0.0271558524,0.00362115865506368,1205821.95497347,1214242.75691907
"fpa",0.29984001055861,0.0272224838542266,0.0000000155965161799768,0.000000011308486168837,0.299999999993345,0.0284242082819893,462983.799050554,8717.07596840299,0.0271558523977608,0.00362115865507552,1118428.79193735,1072590.11062601
"flim",0.339818679897897,0.0308521484829553,0.0000000156348172052091,0.0000000113307202749163,0.339999999964952,0.0322140993126901,510787.550046994,9859.96669195252,0.0271558524000247,0.0036211586550683,1086869.59199646,1025412.85115194
"bpa",0.62310154118627,0.056571408241634,0.0000000159040336980499,0.0000000114886150625156,0.623434006916797,0.0590686993486105,787753.74431371,17831.0478215708,0.0271558524,0.00362115865506368,900000.000058975,781185.272394856
"blim",0.819894944814989,0.0744382874580552,0.0000000160890858773335,0.000000011598655366308,0.820332409729274,0.0777242866286291,933741.977186902,23240.0084651067,0.0271558524,0.00362115865506368,800000,669586.066186479
"MSYBtrigger",0.00000000196852695059074,0.000000000178722622872211,0.000000015306393865401,0.0000000111421240132131,0.0000000116651731326094,0.0000000266351299554508,0.00380499343384794,0.0000580843447714209,0.0271558524022885,0.00362115865506373,1410557.78553837,1622539.12451082
