"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.196872216436678,0.0178721542848275,0.00196743531291651,0.000767512147711107,0.198219627272628,0.0213960612563936,391200.47811946,5614.98001301602,3330.39373833601,241.132954677067,1288877.03441425,NA
"fmsyAR_transfer",0.223931652604281,0.0178723866107327,0.00190743598798057,0.000749995869355273,0.225241211663285,0.0214272178590036,364433.030875021,5746.19350530981,3330.39373833901,241.132954840539,1182632.63335495,1172145.93078385
"fmsyAR_transfer_Btarget",0.223763659998522,0.0464511521764578,0.00191152905994861,0.000761041982870907,0.225243817186925,0.0500204493848763,364183.234649433,14717.8524064038,3330.39373255331,241.132954817161,1182633.63041302,1169578.36287962
"fmsyAR_no_transfer",0.213984733329993,0.0178719624826702,0.00382068846712182,0.000750410151148034,0.216498066899904,0.0233005985107992,350625.924342412,5742.88489522479,6660.7874766593,241.132954840868,1190466.48307268,1182742.73757664
"fmsyAR_no_transfer_Btarget",0.213827192112103,0.0445369275352965,0.00382834792113339,0.000760725391010392,0.216502115960114,0.0499829069155872,350389.353921834,14117.2111027421,6660.78747666251,241.132954840646,1190467.98113155,1180358.26443886
"mpA",0.194978370585232,0.0247886191080514,0.00196614285153675,0.000761645226731603,0.19636558194833,0.0282977771667303,311731.073908935,12664.8227495869,3436.38628197295,244.022926391866,1208606.11919036,1215227.7774944
"mpAC",0.194978370585232,0.0247886191080514,0.00196614285153675,0.000761645226731603,0.19636558194833,0.0282977771667303,311731.073908935,12664.8227495869,3436.38628197295,244.022926391866,1208606.11919036,1215227.7774944
"mpAD",0.194978370585232,0.0247886191080514,0.00196614285153675,0.000761645226731603,0.19636558194833,0.0282977771667303,311731.073908935,12664.8227495869,3436.38628197295,244.022926391866,1208606.11919036,1215227.7774944
"mpB",0.199023232125882,0.0305844220801404,0.00196561706248286,0.000760263699654867,0.200444166598678,0.034107882484167,317478.96744946,15579.4929481239,3433.20492844953,242.855766350561,1204884.0054852,1208334.59115358
"fmsy",0.258692412397644,0.0178721542848275,0.00191112186363725,0.000750072289486498,0.260004289608794,0.0215700505326544,410792.598752993,5745.58616160732,3330.43942526487,241.135170276443,1152541.77454511,1123365.99769048
"nf",0,0,0,0,0,0,0,0,0,0,1411565.2328682,1623713.75632382
"tacro",0.248375108715668,0.0178721542848275,0.00191001053660446,0.000750044748313016,0.249686286543484,0.0215275653789515,397271.999994067,5745.74434626975,3330.39373833596,241.132954840672,1161342.80011492,1137423.00421245
"-15%",0.205947227748486,0.0178721542848275,0.00190553814663885,0.000749959691201053,0.207255591151252,0.0213529794696364,339520.8,5746.39600305489,3330.39373689545,241.132954835142,1198701.13528416,1199045.30564297
"+15%",0.293530629968598,0.0178721542848275,0.00191475235237188,0.000750134966833823,0.29484479176833,0.0217133568122281,455023.199298648,5745.05330722098,3330.39373834505,241.13295484078,1123608.66147756,1078336.29872457
"fsq",0.196914372105766,0.0178721542848275,0.00190461011287185,0.00074994849407769,0.198222151545169,0.0213158413402968,326759.659642637,5746.53497127955,3330.43963554191,241.135186010256,1206904.33396975,1213013.47224703
"fpa",0.298691146877656,0.0178721542848275,0.00191531934759663,0.000750152126062605,0.300005665518622,0.0217346215836344,461394.377180516,5744.97443095148,3330.43928866986,241.135160030046,1119423.34263421,1071968.71806658
"flim",0.338690068092624,0.0178721542848275,0.00191950264463784,0.000750231717771242,0.340007219235882,0.0218991789511634,509279.092687932,5744.3647074251,3330.43915154487,241.135149869127,1087829.10193069,1025045.52910382
"bpa",0.623682929159579,0.0178721542848275,0.00194892549955159,0.000750791892984281,0.625018595780332,0.0230712623363226,787947.379245377,5740.07706087625,3330.43806684417,241.135078274785,899914.837043011,781801.010362347
"blim",0.820803835636765,0.0178721542848275,0.00196891925042419,0.000751172513699509,0.822152084103814,0.0238815928367379,934035.447973212,5737.16739792499,3330.43731524371,241.13502978613,799920.640494433,671793.686910875
"MSYBtrigger",0.00000000196872216436678,0.0178721542848275,0.00188361662741276,0.000749549883167801,0.00129457044603356,0.0205053208032977,0.00380390443326043,5749.59231897065,3330.45885597128,241.135242135055,1410435.6395371,1617284.24827282
