"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.356478435595021,0.0297340568184315,0.00463082376838099,0.0000554224184040559,0.36146549864633,0.0355234338862878,619750.097900001,9669.00000000001,7845.17399281626,1837.88399816794,1406855.88649111,NA
"mp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mp transfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tacro",0.356478435595021,0.0297340568184315,0.00463082376838099,0.0000554224184040559,0.36146549864633,0.0355234338862878,466077.601773473,10386.6413573812,8034.39033205773,1158.32003472724,1053315.82543111,966841.818133785
"-15%",0.356478435595021,0.0297340568184315,0.00463082376838099,0.0000554224184040559,0.36146549864633,0.0355234338862878,466077.601773473,10386.6413573812,8034.39033205773,1158.32003472724,1053315.82543111,966841.818133785
"+15%",0.356478435595021,0.0297340568184315,0.00463082376838099,0.0000554224184040559,0.36146549864633,0.0355234338862878,466077.601773473,10386.6413573812,8034.39033205773,1158.32003472724,1053315.82543111,966841.818133785
"fmsy",0.356478435595021,0.0297340568184315,0.00463082376838099,0.0000554224184040559,0.36146549864633,0.0355234338862878,466077.601773473,10386.6413573812,8034.39033205773,1158.32003472724,1053315.82543111,966841.818133785
"fpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fsq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSYBtrigger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nf",0,0,0,0,0,0,0,0,0,0,1354508.00200888,1554149.78861499
