Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1974 1 1 0 0 0 0.482857 0.000806277 0.483663 5.39633e+008 4.27856e+008 344970 0 0.00632446 0.00632446 0 0 1 0 3.41289e+006 0 0 0 
1974 1 1 1 0 0 0.456422 0.197501 0.653923 1.38904e+008 1.01959e+008 2.01371e+007 1.61011e+007 0.00832646 0.00832646 134065 134065 1 0.409297 1.15658e+006 473383 0 0 
1974 1 1 2 0 0 0.401885 0.331971 0.733856 1.07121e+007 7.58965e+006 2.51955e+006 2.15572e+006 0.0135262 0.0135262 29158.7 29158.7 1 0.87187 144894 126328 0 0 
1974 1 1 3 0 0 0.279594 0.303723 0.583316 474102 359208 109100 475613 0.0184048 0.0184048 8753.57 8753.57 1 0.94676 8725.75 8261.2 0 0 
1974 2 1 0 0 0 0.326748 0.00719338 0.333941 3.32695e+008 2.82845e+008 2.03461e+006 1.88415e+006 0.00584713 0.00584713 11016.9 11016.9 1 0 1.94531e+006 0 0 0 
1974 2 1 1 0 0 0.235424 0.222385 0.457809 7.22302e+007 5.79553e+007 1.28884e+007 1.15441e+007 0.00894888 0.00894888 103307 103307 1 0.409297 646379 264561 0 0 
1974 2 1 2 0 0 0.217345 0.755841 0.973186 5.14239e+006 3.28734e+006 2.48471e+006 866399 0.0149823 0.0149823 12980.6 12980.6 1 0.87187 77044.6 67172.8 0 0 
1974 2 1 3 0 0 0.187755 0.705911 0.893666 264570 174920 123478 48228.1 0.0196945 0.0196945 949.829 949.829 1 0.94676 5210.57 4933.16 0 0 
1974 3 1 0 0 0 0.296626 0.0161084 0.312734 2.38242e+008 2.04586e+008 3.29556e+006 2.8427e+006 0.0049933 0.0049933 14194.5 14194.5 1 0 1.18961e+006 0 0 0 
1974 3 1 1 0 0 0.27469 0.0934113 0.368101 4.56978e+007 3.82307e+007 3.57118e+006 1.10913e+007 0.00774447 0.00774447 85896.3 85896.3 1 0.409297 353905 144852 0 0 
1974 3 1 2 0 0 0.174943 0.206043 0.380986 1.94319e+006 1.61588e+006 332940 1.33604e+006 0.0150214 0.0150214 20069.1 20069.1 1 0.87187 29189.4 25449.4 0 0 
1974 3 1 3 0 0 0.174943 0.499276 0.674219 108250 78743.9 39314.9 34534.2 0.0196543 0.0196543 678.744 678.744 1 0.94676 2127.57 2014.3 0 0 
1974 4 1 0 0 0 0.444899 0.0092984 0.454197 1.7426e+008 1.40055e+008 1.30228e+006 1.30233e+006 0.0065831 0.0065831 8573.38 8573.38 1 0 1.14717e+006 0 0 0 
1974 4 1 1 0 0 0.409145 0.101403 0.510549 3.1625e+007 2.4767e+007 2.51146e+006 2.51132e+006 0.0106994 0.0106994 26869.5 26869.5 1 0.409297 338368 138493 0 0 
1974 4 1 2 0 0 0.3178 0.373443 0.691242 1.32756e+006 958443 357923 359117 0.0183478 0.0183478 6589.02 6589.02 1 0.87187 24357.9 21236.9 0 0 
1974 4 1 3 0 0 0.3178 0.373443 0.691242 55159.1 39822.4 14871.4 14821.6 0.0163205 0.0163205 241.896 241.896 1 0.94676 900.224 852.296 0 0 
1975 1 1 0 0 0 0.51835 0.00145149 0.519802 7.2151e+008 5.62662e+008 816699 250931 0.00483392 0.00483392 1212.98 1212.98 1 0 3.48772e+006 0 0 0 
