Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten
1 1974  5.39633e+008 607973 4.72308e+006 463344 464972 463344 464972 1.11225 0
1 1975  7.2151e+008 615087 4.69782e+006 732312 685730 732312 685730 1.71203 0
1 1976  3.39398e+008 504181 2.74603e+006 628598 544957 628598 544957 1.80894 0
1 1977  6.53859e+008 344120 4.17218e+006 385257 366010 385257 366010 1.60954 0
1 1978  1.01665e+009 401520 4.75092e+006 458804 383474 458804 383474 1.09495 0
1 1979  5.27841e+008 613609 3.95309e+006 463638 432963 463638 432963 0.746278 0
1 1980  3.34515e+008 413604 2.85254e+006 387434 446900 387434 446900 2.20338 0
1 1981  1.01644e+008 307924 1.02893e+006 280582 232899 280582 232899 1.08144 0
1 1982  5.40904e+007 189670 763636 162357 127115 162357 127115 1.01458 0
1 1983  7.17246e+007 93623.8 483636 115440 99740.2 115440 99740.2 1.64513 0
1 1984  3.32081e+007 70514.8 345704 113444 63150.6 113444 63150.6 1.03522 0
1 1985  2.27954e+007 61384.7 247607 62513.6 48013.2 62513.6 48013.2 1.29916 0
1 1986  8.57165e+007 22596.8 583707 27519.7 21578.7 27519.7 21578.7 1.03469 0
1 1987  4.0782e+007 59490.1 405449 53941.6 19395.1 53941.6 19395.1 0.37637 0
1 1988  6.14343e+007 59760.8 360381 103652 47418.6 103652 47418.6 1.31421 0
1 1989  5.59279e+007 42633.3 393420 58420.2 10383.3 58420.2 10383.3 0.307517 0
1 1990  7.5527e+007 42707.8 427366 78180.3 41046.1 78180.3 41046.1 1.56785 0
1 1991  1.1913e+008 88043.3 1.7222e+006 125815 51562.6 125815 51562.6 0.759993 0
1 1992  1.1081e+008 127498 1.17453e+006 156471 91070.4 156471 91070.4 0.877217 0
1 1993  1.71686e+008 177156 1.47179e+006 208848 181018 208848 181018 1.65318 0
1 1994  1.41486e+008 151767 1.28857e+006 424206 101971 424206 101971 0.717083 0
1 1995  3.74936e+007 221594 525758 446555 212850 446555 212850 1.53299 0
1 1996  6.47922e+007 113293 648531 95496.4 98335.9 95496.4 98335.9 1.3872 0
1 1997  5.0069e+007 114526 597977 125174 90743 125174 90743 1.07139 0
1 1998  1.12812e+008 139058 891299 188907 142834 188907 142834 1.7626 0
1 1999  7.99887e+007 133367 720128 243158 105553 243158 105553 0.966772 0
1 2000  7.55607e+007 189389 855724 222027 189740 222027 189740 1.48544 0
1 2001  6.34822e+007 129720 760438 153321 139324 153321 139324 1.61371 0
1 2002  8.55663e+007 114994 852460 174713 127484 174713 127484 1.69605 0
1 2003  1.11315e+008 145514 777998 174988 133127 174988 133127 1.37364 0
1 2004  2.0308e+008 180410 2.16851e+006 231352 208789 231352 208789 2.00497 0
1 2005  7.09446e+007 245894 1.08756e+006 280275 228565 280275 228565 1.37133 0
1 2006  9.39615e+007 186339 910831 78028 202991 78028 202991 1.71985 0
1 2007  6.66511e+007 148844 738746 99901.9 150608 99901.9 150608 1.67751 0
1 2008  1.48963e+008 112133 1.53593e+006 69891.5 99363.9 69891.5 99363.9 1.29465 0
1 2009  1.12816e+008 204255 1.15719e+006 170934 158931 170934 158931 1.06838 0
1 2010  1.27985e+008 183356 1.19154e+006 145415 139719 145415 139719 0.992714 0
1 2011  9.56983e+007 171880 822874 122472 113641 122472 113641 0.869546 0
1 2012  4.90667e+007 142962 679531 96029.9 119027 96029.9 119027 1.284 0
1 2013  9.3617e+007 90222.3 735067 60207.2 94248 60207.2 94248 1.76875 0
1 2014  NA 130685 NA NA NA NA NA NA NA
