 par parNo species year quarter area age predator prey fleet
log_rec 1 1 1974 -1 -1 -1 -1 -1 -1
log_rec 2 1 1975 -1 -1 -1 -1 -1 -1
log_rec 3 1 1976 -1 -1 -1 -1 -1 -1
log_rec 4 1 1977 -1 -1 -1 -1 -1 -1
log_rec 5 1 1978 -1 -1 -1 -1 -1 -1
log_rec 6 1 1979 -1 -1 -1 -1 -1 -1
log_rec 7 1 1980 -1 -1 -1 -1 -1 -1
log_rec 8 1 1981 -1 -1 -1 -1 -1 -1
log_rec 9 1 1982 -1 -1 -1 -1 -1 -1
log_rec 10 1 1983 -1 -1 -1 -1 -1 -1
log_rec 11 1 1984 -1 -1 -1 -1 -1 -1
log_rec 12 1 1985 -1 -1 -1 -1 -1 -1
log_rec 13 1 1986 -1 -1 -1 -1 -1 -1
log_rec 14 1 1987 -1 -1 -1 -1 -1 -1
log_rec 15 1 1988 -1 -1 -1 -1 -1 -1
log_rec 16 1 1989 -1 -1 -1 -1 -1 -1
log_rec 17 1 1990 -1 -1 -1 -1 -1 -1
log_rec 18 1 1991 -1 -1 -1 -1 -1 -1
log_rec 19 1 1992 -1 -1 -1 -1 -1 -1
log_rec 20 1 1993 -1 -1 -1 -1 -1 -1
log_rec 21 1 1994 -1 -1 -1 -1 -1 -1
log_rec 22 1 1995 -1 -1 -1 -1 -1 -1
log_rec 23 1 1996 -1 -1 -1 -1 -1 -1
log_rec 24 1 1997 -1 -1 -1 -1 -1 -1
log_rec 25 1 1998 -1 -1 -1 -1 -1 -1
log_rec 26 1 1999 -1 -1 -1 -1 -1 -1
log_rec 27 1 2000 -1 -1 -1 -1 -1 -1
log_rec 28 1 2001 -1 -1 -1 -1 -1 -1
log_rec 29 1 2002 -1 -1 -1 -1 -1 -1
log_rec 30 1 2003 -1 -1 -1 -1 -1 -1
log_rec 31 1 2004 -1 -1 -1 -1 -1 -1
log_rec 32 1 2005 -1 -1 -1 -1 -1 -1
log_rec 33 1 2006 -1 -1 -1 -1 -1 -1
log_rec 34 1 2007 -1 -1 -1 -1 -1 -1
log_rec 35 1 2008 -1 -1 -1 -1 -1 -1
log_rec 36 1 2009 -1 -1 -1 -1 -1 -1
log_rec 37 1 2010 -1 -1 -1 -1 -1 -1
log_rec 38 1 2011 -1 -1 -1 -1 -1 -1
log_rec 39 1 2012 -1 -1 -1 -1 -1 -1
log_rec 40 1 2013 -1 -1 -1 -1 -1 -1
log_rec 41 1 2014 -1 -1 -1 -1 -1 -1
log_rec 42 1 2015 -1 -1 -1 -1 -1 -1
log_rec 43 1 2016 -1 -1 -1 -1 -1 -1
log_rec 44 1 2017 -1 -1 -1 -1 -1 -1
log_rec 45 1 2018 -1 -1 -1 -1 -1 -1
log_rec_older 46 1 1974 1 -1 1 -1 -1 -1
log_rec_older 47 1 1974 1 -1 2 -1 -1 -1
log_rec_older 48 1 1974 1 -1 3 -1 -1 -1
F_y_ini 49 1 1975 -1 -1 -1 -1 -1 -1
F_y_ini 50 1 1976 -1 -1 -1 -1 -1 -1
F_y_ini 51 1 1977 -1 -1 -1 -1 -1 -1
F_y_ini 52 1 1978 -1 -1 -1 -1 -1 -1
F_y_ini 53 1 1979 -1 -1 -1 -1 -1 -1
F_y_ini 54 1 1980 -1 -1 -1 -1 -1 -1
F_y_ini 55 1 1981 -1 -1 -1 -1 -1 -1
F_y_ini 56 1 1982 -1 -1 -1 -1 -1 -1
F_y_ini 57 1 1983 -1 -1 -1 -1 -1 -1
F_y_ini 58 1 1984 -1 -1 -1 -1 -1 -1
F_y_ini 59 1 1985 -1 -1 -1 -1 -1 -1
F_y_ini 60 1 1986 -1 -1 -1 -1 -1 -1
F_y_ini 61 1 1987 -1 -1 -1 -1 -1 -1
F_y_ini 62 1 1988 -1 -1 -1 -1 -1 -1
F_y_ini 63 1 1989 -1 -1 -1 -1 -1 -1
F_y_ini 64 1 1990 -1 -1 -1 -1 -1 -1
F_y_ini 65 1 1991 -1 -1 -1 -1 -1 -1
F_y_ini 66 1 1992 -1 -1 -1 -1 -1 -1
F_y_ini 67 1 1993 -1 -1 -1 -1 -1 -1
F_y_ini 68 1 1994 -1 -1 -1 -1 -1 -1
F_y_ini 69 1 1995 -1 -1 -1 -1 -1 -1
F_y_ini 70 1 1996 -1 -1 -1 -1 -1 -1
F_y_ini 71 1 1997 -1 -1 -1 -1 -1 -1
F_y_ini 72 1 1998 -1 -1 -1 -1 -1 -1
F_y_ini 73 1 1999 -1 -1 -1 -1 -1 -1
F_y_ini 74 1 2000 -1 -1 -1 -1 -1 -1
F_y_ini 75 1 2001 -1 -1 -1 -1 -1 -1
F_y_ini 76 1 2002 -1 -1 -1 -1 -1 -1
F_y_ini 77 1 2003 -1 -1 -1 -1 -1 -1
F_y_ini 78 1 2004 -1 -1 -1 -1 -1 -1
F_y_ini 79 1 2005 -1 -1 -1 -1 -1 -1
F_y_ini 80 1 2006 -1 -1 -1 -1 -1 -1
F_y_ini 81 1 2007 -1 -1 -1 -1 -1 -1
F_y_ini 82 1 2008 -1 -1 -1 -1 -1 -1
F_y_ini 83 1 2009 -1 -1 -1 -1 -1 -1
F_y_ini 84 1 2010 -1 -1 -1 -1 -1 -1
F_y_ini 85 1 2011 -1 -1 -1 -1 -1 -1
F_y_ini 86 1 2012 -1 -1 -1 -1 -1 -1
F_y_ini 87 1 2013 -1 -1 -1 -1 -1 -1
F_y_ini 88 1 2014 -1 -1 -1 -1 -1 -1
F_y_ini 89 1 2015 -1 -1 -1 -1 -1 -1
