

Observed catches

Species: Sprat      



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0   6029179   6670522  17286283  21067473  12126361   8515090   2536060    843662
         1  41247793  47021275  67897909  19534117  47503062  54622007  27519328  19717227
         2   4717275  16637746   4769429  11061897   2756102   3129083  29331610   4828293
         3    573197    493175    277806    215236    243071    206489   2469205    342688

Yield         463344    732312    628598    385257    458804    463638    387434    280582


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0   3894967   9687210   1881717     84760    580936    261474   7064606    482693
         1  11773432   4750433   9622782   2096317    393402   4867845   3048506   2200159
         2   1719454   1565548    675537   2993626    853090    430736   3487424   3737555
         3    123738    246765      8389     69234    654438     36483     59380     18809

Yield         162357    115440    113444     62514     27520     53942    103652     58420


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    294630   1801171   1521813   3573328   3120302   2580370   3053764    751326
         1   4753159   4685548  12464549   9757825  50803468  37575324   1300108   7410090
         2   3982444   3032019   1706742   7002456   2532382   6589448   3138722   1390005
         3    610656     17845    199896    323240    266324   1005827   1247293    527104

Yield          78180    125815    156471    208848    424206    446555     95496    125174


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0   7167994   2058518   1181621    706585   2173402   3696498  30270051   2026821
         1   7328919  21747253  13431187  10266558  12112137  10869421   9262921  26721855
         2   3439724   1373804   3462161   1903971   1553113   1740177   1040017    938262
         3    826949    297071    296404    519607    233420    312971    148045    149466

Yield         188907    243158    222027    153321    174713    174988    231352    280275


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    496451   1014391   2992562    399774    660589    479793    413234    665709
         1   2610458   6209793   2455966  16325981   7249992   6331521   6747670   4151889
         2   2582218   1890874   2496257   1293862   4383720   4118820   2506586   1159582
         3    541633    343404    612594    265332   2338030   1323269    432893    221933

Yield          78028     99902     69891    170934    145415    122472     96030     60207

Stock numbers

Species: Sprat      



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0 539633162 721510249 339397555 6538585331016645285 527841091 334515209 101644496
         1 138903796 110647927 138017978  61852696 116891076 202856210  95652549  56332114
         2  10712094  18980261  10273671  11916164   6335394  16584588  32928410   6611388
         3    474102    692679    538592    255033    414773    484040   1797746    442298

TSB          4723082   4697817   2746029   4172180   4750916   3953092   2852542   1028925
SSB           607973    615087    504181    344120    401520    613609    413604    307924


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0  54090447  71724566  33208094  22795403  85716526  40782034  61434318  55927872
         1  19037648  12172137  15671439   6758557   4135299  14882544   6943052   9356136
         2   7638726   3353608   1543772   2756267    883361    571241   3292966    828585
         3    466074    725707    149957    169381    172147     81855    128270    154535

TSB           763636    483636    345704    247607    583707    405449    360381    393420
SSB           189670     93624     70515     61385     22597     59490     59761     42633


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0  75527003 119129992 110809822 171686370 141486118  37493632  64792204  50069046
         1   8647202  12765502  24643041  27100361  44218409  35288171   9917914  16687231
         2   1990697    902903   2392168   4883256   3433557   9562123   4986733   1697076
         3    195070     72467    122717    299566    192749    511531    447264    347668

TSB           427366   1722203   1174527   1471787   1288575    525758    648531    597977
SSB            42708     88043    127498    177156    151767    221594    113293    114526


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0 112811566  79988683  75560694  63482197  85566346 111315174 203079862  70944558
         1  14032483  27665360  20844352  19950833  16935830  21802770  27759198  51562387
         2   3799544   2125044   6230803   3433426   3010853   2472574   3830904   3518600
         3    223376    165183    274890    377806    180545    132580    171476    110097

TSB           891299    720128    855724    760438    852460    777998   2168510   1087560
SSB           139058    133367    189389    129720    114994    145514    180410    245894


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0  93961463  66651085 148963156 112815667 127985206  95698272  49066660  93617040
         1  17985049  23319229  17573639  41272693  31319104  29600922  21759659  11828563
         2   8860406   2611403   3629678   3543545   8942328   6379369   5872111   3585300
         3    253932    400688    143186    321388    418074    991631    811045    439960

TSB           910831    738746   1535930   1157190   1191541    822874    679531    735067
SSB           186339    148844    112133    204255    183356    171880    142962     90222

Fishing mortality

Species: Sprat      



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.0334    0.0434    0.0454    0.0391    0.0269    0.0182    0.0573    0.0281
         1    0.6147    0.9241    0.9661    0.8324    0.5717    0.3868    1.2198    0.5973
         2    1.6673    2.3292    2.4352    2.0982    1.4412    0.9750    3.0748    1.5056
         3    1.8824    2.7164    2.8400    2.4470    1.6807    1.1370    3.5858    1.7559

Avg. F 1-2     1.141     1.627     1.701     1.465     1.006     0.681     2.147     1.051


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.0266    0.0439    0.0265    0.0347    0.0277    0.0099    0.0349    0.0078
         1    0.5666    0.9349    0.5642    0.7383    0.5900    0.2115    0.7424    0.1660
         2    1.4282    2.3566    1.4222    1.8609    1.4873    0.5331    1.8714    0.4185
         3    1.6655    2.7483    1.6586    2.1702    1.7345    0.6217    2.1824    0.4881

Avg. F 1-2     0.997     1.646     0.993     1.300     1.039     0.372     1.307     0.292


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.0404    0.0187    0.0215    0.0430    0.0185    0.0410    0.0365    0.0270
         1    0.8611    0.3983    0.4577    0.9162    0.3943    0.8724    0.7770    0.5754
         2    2.1705    1.0040    1.1538    2.3094    0.9938    2.1990    1.9586    1.4504
         3    2.5312    1.1709    1.3456    2.6933    1.1590    2.5645    2.2841    1.6914

