# Auto generated file
# Datetime : 2015-03-18 13:54:43

# Number of fleets (res+con+sur)
 5 
# Fleet types (res=0, con=1, sur=2, ssb=3)
 # catch MS HERAS WoS HERAS IBTS_Q1 IBTS_Q4 #   
 0 2 2 2 2 #   
# Sample times (only relevent for sur)
 # catch MS HERAS WoS HERAS IBTS_Q1 IBTS_Q4 #   
 -99999 0.545 0.545 0.125 0.875 #   
# Number of years
 58 
# Years
 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 
# Number of observations 
 1048 
# Index1 (index of first obs in each year) 
 1 10 19 28 37 46 55 64 73 82 91 100 109 118 127 136 145 154 163 172 181 190 199 208 217 226 235 244 253 262 279 296 313 330 347 373 399 425 451 477 511 545 579 613 647 681 715 749 783 817 851 884 918 952 978 996 1014 1031 
# Index2 (index of last obs in each year) 
 9 18 27 36 45 54 63 72 81 90 99 108 117 126 135 144 153 162 171 180 189 198 207 216 225 234 243 252 261 278 295 312 329 346 372 398 424 450 476 510 544 578 612 646 680 714 748 782 816 850 883 917 951 977 995 1013 1030 1048 
# The observation matrix 
# year fleet age data fleet.name 
1957 1 1 6496 #catch
1957 1 2 80817 #catch
1957 1 3 66094 #catch
1957 1 4 26882 #catch
1957 1 5 38989 #catch
1957 1 6 21547 #catch
1957 1 7 9643 #catch
1957 1 8 1658 #catch
1957 1 9 4817 #catch
1958 1 1 15695 #catch
1958 1 2 33616 #catch
1958 1 3 152801 #catch
1958 1 4 43895 #catch
1958 1 5 28108 #catch
1958 1 6 32025 #catch
1958 1 7 19986 #catch
1958 1 8 10795 #catch
1958 1 9 8887 #catch
1959 1 1 54063 #catch
1959 1 2 74615 #catch
1959 1 3 38547 #catch
1959 1 4 124307 #catch
1959 1 5 27898 #catch
1959 1 6 18942 #catch
1959 1 7 18833 #catch
1959 1 8 8158 #catch
1959 1 9 9364 #catch
1960 1 1 3940 #catch
1960 1 2 115501 #catch
1960 1 3 65703 #catch
1960 1 4 25388 #catch
1960 1 5 50558 #catch
1960 1 6 12196 #catch
1960 1 7 11096 #catch
1960 1 8 6770 #catch
1960 1 9 4856 #catch
1961 1 1 14473 #catch
1961 1 2 50809 #catch
1961 1 3 72914 #catch
1961 1 4 38321 #catch
1961 1 5 24455 #catch
1961 1 6 14296 #catch
1961 1 7 5791 #catch
1961 1 8 5370 #catch
1961 1 9 2887 #catch
1962 1 1 55278 #catch
1962 1 2 99167 #catch
1962 1 3 27189 #catch
1962 1 4 76706 #catch
1962 1 5 49002 #catch
1962 1 6 22707 #catch
1962 1 7 27787 #catch
1962 1 8 7614 #catch
1962 1 9 8435 #catch
1963 1 1 11890 #catch
1963 1 2 82849 #catch
1963 1 3 57688 #catch
1963 1 4 13310 #catch
1963 1 5 42796 #catch
1963 1 6 28698 #catch
1963 1 7 10171 #catch
1963 1 8 14585 #catch
1963 1 9 7885 #catch
1964 1 1 26609 #catch
1964 1 2 87652 #catch
1964 1 3 74309 #catch
1964 1 4 29583 #catch
1964 1 5 8857 #catch
1964 1 6 27075 #catch
1964 1 7 21347 #catch
1964 1 8 10109 #catch
1964 1 9 17655 #catch
1965 1 1 299701 #catch
1965 1 2 23351 #catch
1965 1 3 72085 #catch
1965 1 4 67768 #catch
1965 1 5 24525 #catch
1965 1 6 7001 #catch
1965 1 7 28806 #catch
1965 1 8 21475 #catch
1965 1 9 23515 #catch
1966 1 1 211675 #catch
1966 1 2 517616 #catch
1966 1 3 45317 #catch
1966 1 4 70793 #catch
1966 1 5 38471 #catch
1966 1 6 22691 #catch
1966 1 7 12656 #catch
1966 1 8 20790 #catch
1966 1 9 33175 #catch
1967 1 1 207947 #catch
1967 1 2 28648 #catch
1967 1 3 273723 #catch
1967 1 4 49755 #catch
1967 1 5 48320 #catch
1967 1 6 36143 #catch
1967 1 7 15226 #catch
1967 1 8 10397 #catch
1967 1 9 33967 #catch
1968 1 1 220870 #catch
1968 1 2 105348 #catch
1968 1 3 26031 #catch
1968 1 4 243304 #catch
1968 1 5 19679 #catch
1968 1 6 28436 #catch
1968 1 7 17699 #catch
1968 1 8 7275 #catch
1968 1 9 14389 #catch
1969 1 1 39160 #catch
1969 1 2 107189 #catch
1969 1 3 84565 #catch
1969 1 4 27604 #catch
1969 1 5 264558 #catch
1969 1 6 25795 #catch
1969 1 7 45908 #catch
1969 1 8 27932 #catch
1969 1 9 29258 #catch
1970 1 1 238361 #catch
1970 1 2 134128 #catch
1970 1 3 279726 #catch
1970 1 4 125140 #catch
1970 1 5 31636 #catch
1970 1 6 182580 #catch
1970 1 7 24591 #catch
1970 1 8 28740 #catch
1970 1 9 25993 #catch
1971 1 1 208594 #catch
1971 1 2 341260 #catch
1971 1 3 419854 #catch
1971 1 4 313064 #catch
1971 1 5 110783 #catch
1971 1 6 29495 #catch
1971 1 7 194977 #catch
1971 1 8 19104 #catch
1971 1 9 34159 #catch
1972 1 1 535964 #catch
1972 1 2 650282 #catch
1972 1 3 195671 #catch
1972 1 4 60396 #catch
1972 1 5 77859 #catch
1972 1 6 35773 #catch
1972 1 7 14585 #catch
1972 1 8 102945 #catch
