"Rationale","Fbar (2017)","Catch (2017)","SSB (2017)","Fbar (2018)","Catch (2018)","SSB (2018)","SSB (2019)"
Fmult(2017) = 0.000,0.0412091552421494,5800,132340.328534464,2.52530767385328e-34,3.53931114784169e-29,134158.490631971,78899.0877354834
Fmult(2017) = 0.100,0.0412091552421494,5800,132340.328534464,0.1,13469.232920197,126925.579143129,73879.5470707641
Fmult(2017) = 0.200,0.0412091552421494,5800,132340.328534464,0.2,25907.2802320966,120104.394134714,69264.809116044
Fmult(2017) = 0.300,0.0412091552421494,5800,132340.328534464,0.3,37399.7307297652,113670.469144929,65020.5009620344
Fmult(2017) = 0.400,0.0412091552421494,5800,132340.328534464,0.4,48024.7127306173,107600.838807134,61115.2814738322
Fmult(2017) = 0.500,0.0412091552421494,5800,132340.328534464,0.5,57853.5660918355,101873.944613687,57520.5663161624
Fmult(2017) = 0.600,0.0412091552421494,5800,132340.328534464,0.6,66951.4523157784,96469.5466935616,54210.2784231927
Fmult(2017) = 0.700,0.0412091552421494,5800,132340.328534464,0.7,75377.9085387915,91368.641215362,51160.6215241416
Fmult(2017) = 0.800,0.0412091552421494,5800,132340.328534464,0.8,83187.3506492798,86553.3830526855,48349.8745625692
Fmult(2017) = 0.900,0.0412091552421494,5800,132340.328534464,0.9,90429.5302847262,82007.0133724072,45758.2050522287
Fmult(2017) = 1.000,0.0412091552421494,5800,132340.328534464,1,97149.9500085144,77713.7918285661,43367.4995977404
Fmult(2017) = 1.100,0.0412091552421494,5800,132340.328534464,1.1,103390.240561385,73658.9330651747,41161.2099760285
Fmult(2017) = 1.200,0.0412091552421494,5800,132340.328534464,1.2,109188.503715011,69828.5472505682,39124.2133261284
Fmult(2017) = 1.300,0.0412091552421494,5800,132340.328534464,1.3,114579.623922816,66209.5843839362,37242.6851321742
Fmult(2017) = 1.400,0.0412091552421494,5800,132340.328534464,1.4,119595.551662399,62789.7821315314,35503.9838084937
Fmult(2017) = 1.500,0.0412091552421494,5800,132340.328534464,1.5,124265.561091789,59557.6169657913,33896.5458080413
Fmult(2017) = 1.600,0.0412091552421494,5800,132340.328534464,1.6,128616.484395421,56502.2583953282,32409.7902770036
Fmult(2017) = 1.700,0.0412091552421494,5800,132340.328534464,1.7,132672.924972816,53613.5260874937,31034.0323703624
Fmult(2017) = 1.800,0.0412091552421494,5800,132340.328534464,1.8,136457.451421137,50881.8496980772,29760.4044264051
Fmult(2017) = 1.900,0.0412091552421494,5800,132340.328534464,1.9,139990.77408012,48298.2312347143,28580.7842734825
Fmult(2017) = 2.000,0.0412091552421494,5800,132340.328534464,2,143291.905742514,45854.2097918092,27487.7300104733
