"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","SSB (2020)"
Catch(2019) = Zero,0.0639962809683265,5800,91514.964776335,0,0,89088.7005732119,89394.3026764572
Catch(2019) = ICES 2016,0.0639962809683265,5800,91514.964776335,0.0606541209847138,4840,86146.738434453,82119.511017775
Catch(2019) = 2018 TAC,0.0639962809683265,5800,91514.964776335,0.0730550036610557,5800,85558.2482940589,81473.2131769167
Catch(2019) = 2018 TAC +30%,0.0639962809683265,5800,91514.964776335,0.0958602233602495,7540,84487.3071491871,80302.7912071916
Catch(2019) = 2018 TAC -30%,0.0639962809683265,5800,91514.964776335,0.0506711183205106,4060,86623.6595997811,82644.9101349994
Fbar(2019) = Fpa,0.0639962809683265,5800,91514.964776335,0.18,13684.612912113,80659.5122181542,76180.2701252981
Fbar(2019) = Fmsy,0.0639962809683265,5800,91514.964776335,0.16,12262.2449985328,81552.0991675685,77133.0297421027
Fbar(2019) = Fmgt,0.0639962809683265,5800,91514.964776335,0.05,4007.33238171931,86655.8231620669,82680.39548223
Fbar(2019) = Flim,0.0639962809683265,5800,91514.964776335,0.3,21748.0552527806,75520.8393648743,70797.8047209901
Fbar(2019) = F (2018),0.0639962809683265,5800,91514.964776335,0.0639962809683265,5099.69798999947,85987.7058844208,81944.6373499991
Fbar(2019) = ICES MSY Rule,0.0639962809683265,5800,91514.964776335,0.03571317,2879.17508970069,87343.5890470844,83440.7750908733
