"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 2-6","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","11872087","54270176","0","0.219","53193487","0"
"0.01","125099","10444912","54022427","0.0023","0.193","47431101","125099"
"0.02","222548","9292869","53769291","0.0041","0.173","42749527","222548"
"0.03","299705","8344534","53510935","0.0056","0.156","38869535","299705"
"0.04","361580","7551157","53247521","0.0068","0.142","35600460","361580"
"0.051","411693","6878328","52979206","0.0078","0.13","32807673","411693"
"0.061","452593","6301073","52706139","0.0086","0.12","30393408","452593"
"0.071","486162","5800829","52428464","0.0093","0.111","28284951","486162"
"0.081","513821","5363514","52146316","0.0099","0.103","26427103","513821"
"0.091","536662","4978254","51859823","0.0103","0.096","24777205","536662"
"0.101","555533","4636523","51569107","0.0108","0.09","23301769","555533"
"0.111","571107","4331539","51274283","0.0111","0.084","21974142","571107"
"0.121","583916","4057845","50975456","0.0115","0.08","20772843","583916"
"0.131","594394","3811001","50672726","0.0117","0.075","19680370","594394"
"0.141","602892","3587357","50366185","0.012","0.071","18682318","602892"
"0.152","609697","3383887","50055918","0.0122","0.068","17766724","609697"
"0.162","615048","3198062","49742002","0.0124","0.064","16923569","615048"
"0.172","619144","3027750","49424508","0.0125","0.061","16144401","619144"
"0.182","622150","2871146","49103500","0.0127","0.058","15422037","622150"
"0.192","624206","2726708","48779037","0.0128","0.056","14750337","624206"
"0.202","625432","2593113","48451170","0.0129","0.054","14124017","625432"
"0.212","625927","2469221","48119944","0.013","0.051","13538510","625927"
"0.222","625777","2354041","47785400","0.0131","0.049","12989843","625777"
"0.232","625057","2246712","47447572","0.0132","0.047","12474547","625057"
"0.242","623829","2146480","47106489","0.0132","0.046","11989578","623829"
"0.253","622149","2052682","46762175","0.0133","0.044","11532255","622149"
"0.263","620064","1964733","46414649","0.0134","0.042","11100205","620064"
"0.273","617615","1882117","46063928","0.0134","0.041","10691322","617615"
"0.283","614839","1804374","45710020","0.0135","0.039","10303731","614839"
"0.293","611767","1731096","45352934","0.0135","0.038","9935756","611767"
"0.303","608426","1661918","44992671","0.0135","0.037","9585891","608426"
"0.313","604841","1596511","44629230","0.0136","0.036","9252787","604841"
"0.323","601032","1534582","44262607","0.0136","0.035","8935224","601032"
"0.333","597019","1475866","43892795","0.0136","0.034","8632100","597019"
"0.343","592818","1420124","43519784","0.0136","0.033","8342417","592818"
"0.354","588444","1367139","43143558","0.0136","0.032","8065266","588444"
"0.364","583910","1316715","42764103","0.0137","0.031","7799822","583910"
"0.374","579227","1268674","42381401","0.0137","0.03","7545331","579227"
"0.384","574406","1222852","41995428","0.0137","0.029","7301103","574406"
"0.394","569455","1179102","41606164","0.0137","0.028","7066506","569455"
"0.404","564383","1137288","41213581","0.0137","0.028","6840959","564383"
"0.414","559197","1097286","40817654","0.0137","0.027","6623930","559197"
"0.424","553904","1058981","40418352","0.0137","0.026","6414926","553904"
"0.434","548508","1022270","40015646","0.0137","0.026","6213494","548508"
"0.444","543016","987055","39609502","0.0137","0.025","6019214","543016"
"0.455","537432","953248","39199886","0.0137","0.024","5831698","537432"
"0.465","531761","920766","38786764","0.0137","0.024","5650585","531761"
"0.475","526005","889535","38370099","0.0137","0.023","5475542","526005"
"0.485","520168","859483","37949852","0.0137","0.023","5306257","520168"
"0.495","514253","830546","37525985","0.0137","0.022","5142441","514253"
"0.505","508263","802663","37098457","0.0137","0.022","4983823","508263"
"0.515","502200","775778","36667228","0.0137","0.021","4830151","502200"
"0.525","496066","749838","36232254","0.0137","0.021","4681191","496066"
