Survey,Year,Quarter,SpecCode,Genus,Family,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15
NS-IBTS,1972,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,1462.103,483.013,401.274,68.303,12.160,0.000,,,,,,,,,
NS-IBTS,1973,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,2356.876,1562.147,432.604,87.400,7.669,3.236,,,,,,,,,
NS-IBTS,1974,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1178.637,2008.097,257.809,75.843,0.000,0.177,,,,,,,,,
NS-IBTS,1974,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,1691.379,3987.326,1318.763,434.301,59.822,16.833,,,,,,,,,
NS-IBTS,1975,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,3143.495,4228.794,2958.036,392.762,95.655,11.428,,,,,,,,,
NS-IBTS,1975,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,96.647,1567.444,747.149,20.231,2.019,0.593,,,,,,,,,
NS-IBTS,1976,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,1816.107,6714.069,1733.160,1194.908,352.113,13.509,,,,,,,,,
NS-IBTS,1976,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,863.932,433.094,192.264,3.040,0.000,0.054,,,,,,,,,
NS-IBTS,1977,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,141.860,2559.185,230.247,19.723,0.000,0.021,,,,,,,,,
NS-IBTS,1977,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,2710.554,2619.221,1063.993,69.348,0.000,0.038,,,,,,,,,
NS-IBTS,1978,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,5011.965,1206.502,419.611,63.977,7.084,4.282,,,,,,,,,
NS-IBTS,1978,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,987.536,486.593,227.123,6.753,0.156,0.048,,,,,,,,,
