2011
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3899157.3872628,0.15,0,0.421,0.35,0,0.00405209877180394,0.0683333333333333
"1",3342307,0.15,0.07,0.421,0.35,0.071,0.0146490034370488,0.144
"2",2937400,0.15,0.58,0.421,0.35,0.160333333333333,0.0442758172178540,0.221333333333333
"3",2623824,0.15,0.866666666666667,0.421,0.35,0.21,0.105378753639653,0.290333333333333
"4",2041355,0.15,0.98,0.421,0.35,0.264,0.171740836277207,0.344333333333333
"5",2564889,0.15,0.98,0.421,0.35,0.313,0.224242897039365,0.390333333333333
"6",1744886,0.15,0.99,0.421,0.35,0.349666666666667,0.279567269211659,0.428666666666667
"7",696902,0.15,1,0.421,0.35,0.400333333333333,0.293296836233537,0.472666666666667
"8",333463,0.15,1,0.421,0.35,0.431333333333333,0.303473130740731,0.511
"9",414946,0.15,1,0.421,0.35,0.454,0.320503568843870,0.541
"10",147652,0.15,1,0.421,0.35,0.488,0.373007163377927,0.593
"11",34739,0.15,1,0.421,0.35,0.536333333333333,0.336364345559048,0.599
"12",46036,0.15,1,0.421,0.35,0.549,0.336364345559048,0.640333333333333
""
2012
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3899157.3872628,0.15,0,0.421,0.35,0,0.00405209877180394,0.0683333333333333
"1",-,0.15,0.07,0.421,0.35,0.071,0.0146490034370488,0.144
"2",-,0.15,0.58,0.421,0.35,0.160333333333333,0.0442758172178540,0.221333333333333
"3",-,0.15,0.866666666666667,0.421,0.35,0.21,0.105378753639653,0.290333333333333
"4",-,0.15,0.98,0.421,0.35,0.264,0.171740836277207,0.344333333333333
"5",-,0.15,0.98,0.421,0.35,0.313,0.224242897039365,0.390333333333333
"6",-,0.15,0.99,0.421,0.35,0.349666666666667,0.279567269211659,0.428666666666667
"7",-,0.15,1,0.421,0.35,0.400333333333333,0.293296836233537,0.472666666666667
"8",-,0.15,1,0.421,0.35,0.431333333333333,0.303473130740731,0.511
"9",-,0.15,1,0.421,0.35,0.454,0.320503568843870,0.541
"10",-,0.15,1,0.421,0.35,0.488,0.373007163377927,0.593
"11",-,0.15,1,0.421,0.35,0.536333333333333,0.336364345559048,0.599
"12",-,0.15,1,0.421,0.35,0.549,0.336364345559048,0.640333333333333
""
2013
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3899157.3872628,0.15,0,0.421,0.35,0,0.00405209877180394,0.0683333333333333
"1",-,0.15,0.07,0.421,0.35,0.071,0.0146490034370488,0.144
"2",-,0.15,0.58,0.421,0.35,0.160333333333333,0.0442758172178540,0.221333333333333
"3",-,0.15,0.866666666666667,0.421,0.35,0.21,0.105378753639653,0.290333333333333
"4",-,0.15,0.98,0.421,0.35,0.264,0.171740836277207,0.344333333333333
"5",-,0.15,0.98,0.421,0.35,0.313,0.224242897039365,0.390333333333333
"6",-,0.15,0.99,0.421,0.35,0.349666666666667,0.279567269211659,0.428666666666667
"7",-,0.15,1,0.421,0.35,0.400333333333333,0.293296836233537,0.472666666666667
"8",-,0.15,1,0.421,0.35,0.431333333333333,0.303473130740731,0.511
"9",-,0.15,1,0.421,0.35,0.454,0.320503568843870,0.541
"10",-,0.15,1,0.421,0.35,0.488,0.373007163377927,0.593
"11",-,0.15,1,0.421,0.35,0.536333333333333,0.336364345559048,0.599
"12",-,0.15,1,0.421,0.35,0.549,0.336364345559048,0.640333333333333
""
