NSH Herring natural mortality - m (units : NA )
1	5	
1960	2009	
0	9	
1 
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
1 1 0.3 0.2 0.1 0.1 0.1 0.1 0.1 0.1
